Breaks;Date;Time;BP [R];HP [R];O2 [R];CO2 [R];O2_MMOL [R];POIDS_1 [R];POIDS_2 [R];POIDS_3 [R];CO2_MMOL [R];DEFAUT_BP [B]
OPEN;19/06/2025;09:34:01;0;0;0;0;0;-1000;-1000;-1000;0;0
;19/06/2025;09:34:34;-7,5430546;41,195171;227200;540;12170;-10;3,66666666666667;-6,66666666666667;289;1
;19/06/2025;09:35:04;-6,9485931;41,339035;223200;577;12011;-10;3,33333333333333;-7;310;1
;19/06/2025;09:35:34;-6,0702896;41,654469;225600;542;12362;-10,3333333333333;3,33333333333333;-7;297;1
;19/06/2025;09:36:04;-6,91679;41,797375;225100;524;12388;-10;3,33333333333333;-7;288;1
;19/06/2025;09:36:34;-9,7327251;41,25275;225200;552;12347;-10,3333333333333;3,66666666666667;-7;303;1
;19/06/2025;09:37:04;-8,5162964;41,439552;225300;532;12260;-10;3;-6,66666666666667;289;1
;19/06/2025;09:37:34;-8,0503922;41,568584;224900;544;12162;-10;2,66666666666667;-6,66666666666667;294;1
;19/06/2025;09:38:04;-7,7874546;41,697372;225300;540;12200;-10;3;-7,33333333333333;292;1
;19/06/2025;09:38:34;-11,262145;44,744007;225900;507;12334;-11;3,66666666666667;-6,66666666666667;277;1
;19/06/2025;09:39:04;-10,694483;45,274502;225400;549;12345;-10,6666666666667;3,33333333333333;-7;301;1
;19/06/2025;09:39:34;-14,005947;45,084568;224600;547;12276;-10,3333333333333;3,33333333333333;-7;299;1
;19/06/2025;09:40:04;-13,358168;45,369259;225300;520;12263;-10,6666666666667;3,66666666666667;-7;283;1
;19/06/2025;09:40:34;-12,882429;43,503059;224400;572;12172;-11;3;-7;310;1
;19/06/2025;09:41:04;-12,414989;42,578037;224800;575;12233;-10,6666666666667;3,33333333333333;-7;313;1
;19/06/2025;09:41:34;-11,429185;43,753128;225700;529;12352;-11;3,66666666666667;-7,33333333333333;290;1
;19/06/2025;09:42:04;-12,337868;44,029877;225200;500;12320;-10;3,66666666666667;-6,66666666666667;274;1
;19/06/2025;09:42:34;-14,273664;44,057491;225100;604;12284;-11;3,66666666666667;-7;330;1
;19/06/2025;09:43:05;-13,985463;44,305462;225200;562;12240;-10;3,33333333333333;-7;305;1
;19/06/2025;09:43:35;-11,955531;44,866817;224500;567;12185;-10,6666666666667;3,33333333333333;-6,66666666666667;308;1
;19/06/2025;09:44:05;-12,843165;44,798618;225700;484;12323;-11;3,33333333333333;-7,33333333333333;264;1
;19/06/2025;09:44:35;-13,538771;44,948559;225600;520;12351;-9,66666666666667;3,66666666666667;-7;285;1
;19/06/2025;09:45:05;-14,315093;44,757664;224800;516;12294;-10;3,33333333333333;-7;282;1
;19/06/2025;09:45:35;-14,170379;44,730343;224800;593;12253;-10;3,33333333333333;-7;323;1
;19/06/2025;09:46:05;-14,191005;44,825901;225300;512;12231;-10,6666666666667;3,33333333333333;-7;278;1
;19/06/2025;09:46:35;-12,107819;45,125317;225200;527;12245;-9;3,33333333333333;-7;287;1
;19/06/2025;09:47:05;-13,418233;45,20673;225300;502;12330;-10,3333333333333;3,33333333333333;-7;275;1
;19/06/2025;09:47:35;-13,238438;44,975784;225200;536;12334;-10;3,33333333333333;-6,66666666666667;294;1
