Breaks;Date;Time;DEFAUT_HP [B];A_SECONDES [I];IRRADIANCE [I];REARMEMENT [B];ARU_CELLULE [B];CONSIGNE_O2 [I];Etat_Mesure [B];POIDS_TOTAL [I];BALLON_CHAUD [R];BALLON_FROID [R]
OPEN;19/06/2025;09:34:01;0;0;0;0;0;210000;0;-3000;0;0
OPEN;19/06/2025;09:34:34;1;515936;21;0;1;210000;0;-13;43,799999;-3,5999999
OPEN;19/06/2025;09:35:04;1;515966;17;0;1;210000;0;-13;43,899998;-3,4999998
OPEN;19/06/2025;09:35:34;1;515994;20;0;1;210000;0;-14;43,899998;-3,5999999
OPEN;19/06/2025;09:36:04;1;516025;24;0;1;210000;0;-13;44;-3,6999998
OPEN;19/06/2025;09:36:34;1;516055;15;0;1;210000;0;-13;44,200001;-3,7999997
OPEN;19/06/2025;09:37:04;1;516085;26;0;1;210000;0;-13;44,299999;-3,8999999
OPEN;19/06/2025;09:37:34;1;516114;20;0;1;210000;0;-14;44,399998;-3,7999997
OPEN;19/06/2025;09:38:04;1;516145;23;0;1;210000;0;-14;44,399998;-3,6999998
OPEN;19/06/2025;09:38:34;1;516175;12;0;1;210000;0;-14;44,399998;-3,5999999
OPEN;19/06/2025;09:39:04;1;516205;30;0;1;210000;0;-14;44,399998;-3,5999999
OPEN;19/06/2025;09:39:34;1;516235;20;0;1;210000;0;-14;44,599998;-3,6999998
OPEN;19/06/2025;09:40:04;1;516265;29;0;1;210000;0;-14;44,799999;-3,8999999
OPEN;19/06/2025;09:40:34;1;516295;20;0;1;210000;0;-15;45,099998;-3,9999998
OPEN;19/06/2025;09:41:04;1;516325;24;0;1;210000;0;-14;45,299999;-4,0999999
OPEN;19/06/2025;09:41:34;1;516355;25;0;1;210000;0;-14;45,399998;-4,0999999
OPEN;19/06/2025;09:42:04;1;516385;16;0;1;210000;0;-13;45,299999;-4,2999997
OPEN;19/06/2025;09:42:34;1;516416;13;0;1;210000;0;-14;45,099998;-4,5
OPEN;19/06/2025;09:43:05;1;516445;5;0;1;210000;0;-13;45,099998;-4,5999999
OPEN;19/06/2025;09:43:35;1;516475;23;0;1;210000;0;-14;45,099998;-4,6999998
OPEN;19/06/2025;09:44:05;1;516505;13;0;1;210000;0;-15;45;-4,6999998
OPEN;19/06/2025;09:44:35;1;516535;22;0;1;210000;0;-13;45;-4,6999998
OPEN;19/06/2025;09:45:05;1;516565;14;0;1;210000;0;-13;44,899998;-4,6999998
OPEN;19/06/2025;09:45:35;1;516595;16;0;1;210000;0;-13;44,799999;-4,7999997
OPEN;19/06/2025;09:46:05;1;516625;18;0;1;210000;0;-14;44,799999;-4,7999997
OPEN;19/06/2025;09:46:35;1;516655;23;0;1;210000;0;-12;44,799999;-4,7999997
OPEN;19/06/2025;09:47:05;1;516685;26;0;1;210000;0;-14;44,799999;-4,7999997
OPEN;19/06/2025;09:47:35;1;516715;27;0;1;210000;0;-13;44,700001;-4,8999996
OPEN;19/06/2025;09:48:05;1;516745;11;0;1;210000;0;-14;44,599998;-5
OPEN;19/06/2025;09:48:35;1;516775;12;0;1;210000;0;-14;44,5;-5,0999999
OPEN;19/06/2025;09:49:05;1;516805;19;0;1;210000;0;-14;44,599998;-5,1999998
OPEN;19/06/2025;09:49:35;1;516835;25;0;1;210000;0;-15;44,599998;-5,1999998
OPEN;19/06/2025;09:50:05;1;516865;11;0;1;210000;0;-14;44,599998;-5,1999998
OPEN;19/06/2025;09:50:35;1;516895;19;0;1;210000;0;-14;44,799999;-5,1999998
OPEN;19/06/2025;09:51:05;1;516925;17;0;1;210000;0;-14;45;-5,3999996
OPEN;19/06/2025;09:51:35;1;516955;31;0;1;210000;0;-12;45,200001;-5,5
OPEN;19/06/2025;09:52:05;1;516985;19;0;1;210000;0;-13;45,399998;-5,5
OPEN;19/06/2025;09:52:35;1;517015;21;0;1;210000;0;-13;45,399998;-5,3999996
OPEN;19/06/2025;09:53:05;1;517045;19;0;1;210000;0;-13;45,299999;-5,3999996
OPEN;19/06/2025;09:53:35;1;517076;20;0;1;210000;0;-13;45,200001;-5,3999996
OPEN;19/06/2025;09:54:05;1;517105;20;0;1;210000;0;-14;45,200001;-5,5
OPEN;19/06/2025;09:54:35;1;517136;26;0;1;210000;0;-14;45,099998;-5,5
OPEN;19/06/2025;09:55:05;1;517165;45;0;1;210000;0;-13;45;-5,3999996
OPEN;19/06/2025;09:55:35;1;517196;35;0;1;210000;0;-14;44,899998;-5,3999996
OPEN;19/06/2025;09:56:05;1;517225;43;0;1;210000;0;-13;44,799999;-5,3999996
OPEN;19/06/2025;09:56:35;1;517256;35;0;1;210000;0;-13;44,599998;-5,5
OPEN;19/06/2025;09:57:05;1;517285;29;0;1;210000;0;-14;44,599998;-5,5999999
OPEN;19/06/2025;09:57:35;1;517316;39;0;1;210000;0;-13;44,700001;-5,6999998
OPEN;19/06/2025;09:58:05;1;517345;35;0;1;210000;0;-13;44,5;-5,6999998
OPEN;19/06/2025;09:58:35;1;517376;38;0;1;210000;0;-14;44,200001;-5,6999998
OPEN;19/06/2025;09:59:05;1;517406;29;0;1;210000;0;-14;44;-5,6999998
OPEN;19/06/2025;09:59:35;1;517436;45;0;1;210000;0;-12;44,099998;-5,8999996
OPEN;19/06/2025;10:00:05;1;517466;40;0;1;210000;0;-14;44,299999;-6
OPEN;19/06/2025;10:00:35;1;517496;29;0;1;210000;0;-13;44,599998;-6
OPEN;19/06/2025;10:01:05;1;517525;39;0;1;210000;0;-14;44,799999;-5,8999996
OPEN;19/06/2025;10:01:35;1;517556;44;0;1;210000;0;-14;45;-5,8999996
OPEN;19/06/2025;10:02:05;1;517585;26;0;1;210000;0;-12;45,200001;-5,8999996
OPEN;19/06/2025;10:02:35;1;517616;39;0;1;210000;0;-13;45,299999;-5,8999996
OPEN;19/06/2025;10:03:05;1;517646;31;0;1;210000;0;-13;45,399998;-5,8999996
OPEN;19/06/2025;10:03:35;1;517676;35;0;1;210000;0;-14;45,399998;-5,8999996
OPEN;19/06/2025;10:04:05;1;517706;27;0;1;210000;0;-13;45,200001;-5,8999996
OPEN;19/06/2025;10:04:35;1;517736;43;0;1;210000;0;-13;45;-5,8999996
OPEN;19/06/2025;10:05:05;1;517765;43;0;1;210000;0;-13;45;-6
OPEN;19/06/2025;10:05:35;1;517796;39;0;1;210000;0;-13;44,899998;-6,0999999
OPEN;19/06/2025;10:06:05;1;517826;33;0;1;210000;0;-13;44,899998;-6,0999999
OPEN;19/06/2025;10:06:35;1;517856;35;0;1;210000;0;-13;44,899998;-6,1999998
OPEN;19/06/2025;10:07:05;1;517886;32;0;1;210000;0;-15;44,599998;-6,0999999
OPEN;19/06/2025;10:07:35;1;517916;33;0;1;210000;0;-14;44,299999;-6,0999999
OPEN;19/06/2025;10:08:05;1;517946;32;0;1;210000;0;-13;44,200001;-6,2999997
OPEN;19/06/2025;10:08:35;1;517976;27;0;1;210000;0;-14;44,299999;-6,3999996
OPEN;19/06/2025;10:09:05;1;518007;33;0;1;210000;0;-13;44,399998;-6,3999996
OPEN;19/06/2025;10:09:35;1;518036;40;0;1;210000;0;-14;44,599998;-6,3999996
OPEN;19/06/2025;10:10:05;1;518067;35;0;1;210000;0;-13;44,799999;-6,2999997
OPEN;19/06/2025;10:10:35;1;518096;36;0;1;210000;0;-13;45;-6,3999996
OPEN;19/06/2025;10:11:05;1;518127;36;0;1;210000;0;-13;45,200001;-6,3999996
OPEN;19/06/2025;10:11:35;1;518156;28;0;1;210000;0;-13;45,399998;-6,3999996
OPEN;19/06/2025;10:12:05;1;518187;41;0;1;210000;0;-14;45,5;-6,2999997
OPEN;19/06/2025;10:12:06;1;518216;41;0;1;210000;0;-14;45,5;-6,2999997
OPEN;19/06/2025;10:12:35;1;518216;33;0;1;210000;0;-12;45,399998;-6,2999997
OPEN;19/06/2025;10:12:36;1;518247;33;0;1;210000;0;-12;45,399998;-6,2999997
OPEN;19/06/2025;10:13:05;1;518247;42;0;1;210000;0;-14;45,200001;-6,1999998
OPEN;19/06/2025;10:13:06;1;518276;42;0;1;210000;0;-14;45,200001;-6,1999998
OPEN;19/06/2025;10:13:36;1;518276;39;0;1;210000;0;-13;45,099998;-6,2999997
OPEN;19/06/2025;10:14:06;1;518307;31;0;1;210000;0;-14;45,099998;-6,3999996
OPEN;19/06/2025;10:14:36;1;518336;31;0;1;210000;0;-13;45,099998;-6,5
OPEN;19/06/2025;10:15:06;1;518367;39;0;1;210000;0;-12;45;-6,5
OPEN;19/06/2025;10:15:36;1;518396;37;0;1;210000;0;-12;44,899998;-6,5
OPEN;19/06/2025;10:16:06;1;518427;25;0;1;210000;0;-13;44,700001;-6,5
OPEN;19/06/2025;10:16:36;1;518456;35;0;1;210000;0;-14;44,399998;-6,5999999
OPEN;19/06/2025;10:17:06;1;518487;37;0;1;210000;0;-14;44,299999;-6,6999998
OPEN;19/06/2025;10:17:36;1;518516;30;0;1;210000;0;-13;44,399998;-6,6999998
OPEN;19/06/2025;10:18:06;1;518547;39;0;1;210000;0;-13;44,5;-6,6999998
OPEN;19/06/2025;10:18:36;1;518576;36;0;1;210000;0;-13;44,599998;-6,6999998
OPEN;19/06/2025;10:19:06;1;518607;32;0;1;210000;0;-13;44,799999;-6,6999998
OPEN;19/06/2025;10:19:36;1;518636;38;0;1;210000;0;-13;45;-6,6999998
OPEN;19/06/2025;10:20:06;1;518667;30;0;1;210000;0;-14;45,200001;-6,6999998
OPEN;19/06/2025;10:20:36;1;518696;38;0;1;210000;0;-13;45,399998;-6,6999998
OPEN;19/06/2025;10:21:06;1;518727;34;0;1;210000;0;-13;45,599998;-6,6999998
OPEN;19/06/2025;10:21:36;1;518756;35;0;1;210000;0;-14;45,399998;-6,5999999
