Breaks;Date;Time;CONSIGNE_CO2 [I];MA_VARIATEUR [B];COMPRESSEUR_1 [B];COMPRESSEUR_2 [B];POMPE_INF_ECO [B];POMPE_SUP_ECO [B];PPM_O2_HUMIDE [R];V2V_AIR_VICIE [B];V2V_EAU_PLUIE [I];HAUTEUR_ECOLUX [I]
OPEN;19/06/2025;09:34:01;400;0;0;0;0;0;0;0;0;0
OPEN;19/06/2025;09:34:34;400;1;0;1;0;0;2237;1;0;0
OPEN;19/06/2025;09:35:04;400;1;0;1;0;0;2200;1;0;0
OPEN;19/06/2025;09:35:34;400;1;0;1;0;0;2234;1;0;0
OPEN;19/06/2025;09:36:04;400;1;0;1;0;0;2232;1;0;0
OPEN;19/06/2025;09:36:34;400;1;0;1;0;0;2231;1;0;0
OPEN;19/06/2025;09:37:04;400;1;0;1;0;0;2229;1;0;0
OPEN;19/06/2025;09:37:34;400;1;0;1;0;0;2222;1;0;0
OPEN;19/06/2025;09:38:04;400;1;0;1;0;0;2227;1;0;0
OPEN;19/06/2025;09:38:18;400;1;0;1;0;0;2238;1;0;0
OPEN;19/06/2025;09:38:34;400;1;0;0;0;0;2238;1;0;0
OPEN;19/06/2025;09:39:04;400;1;0;0;0;0;2235;1;0;0
OPEN;19/06/2025;09:39:34;400;1;0;0;0;0;2226;1;0;0
OPEN;19/06/2025;09:40:04;400;1;0;0;0;0;2230;1;0;0
OPEN;19/06/2025;09:40:34;400;1;0;0;0;0;2219;1;0;0
OPEN;19/06/2025;09:41:04;400;1;0;0;0;0;2226;1;0;0
OPEN;19/06/2025;09:41:34;400;1;0;0;0;0;2238;1;0;0
OPEN;19/06/2025;09:42:04;400;1;0;0;0;0;2232;1;0;0
OPEN;19/06/2025;09:42:34;400;1;0;0;0;0;2230;1;0;0
OPEN;19/06/2025;09:43:05;400;1;0;0;0;0;2229;1;0;0
OPEN;19/06/2025;09:43:35;400;1;0;0;0;0;2221;1;0;0
OPEN;19/06/2025;09:44:05;400;1;0;0;0;0;2236;1;0;0
OPEN;19/06/2025;09:44:35;400;1;0;0;0;0;2237;1;0;0
OPEN;19/06/2025;09:45:05;400;1;0;0;0;0;2228;1;0;0
OPEN;19/06/2025;09:45:35;400;1;0;0;0;0;2226;1;0;0
OPEN;19/06/2025;09:46:05;400;1;0;0;0;0;2229;1;0;0
OPEN;19/06/2025;09:46:35;400;1;0;0;0;0;2229;1;0;0
OPEN;19/06/2025;09:47:05;400;1;0;0;0;0;2234;1;0;0
OPEN;19/06/2025;09:47:35;400;1;0;0;0;0;2233;1;0;0
OPEN;19/06/2025;09:48:05;400;1;0;0;0;0;2226;1;0;0
OPEN;19/06/2025;09:48:35;400;1;0;0;0;0;2227;1;0;0
OPEN;19/06/2025;09:49:05;400;1;0;0;0;0;2224;1;0;0
OPEN;19/06/2025;09:49:35;400;1;0;0;0;0;2227;1;0;0
OPEN;19/06/2025;09:50:05;400;1;0;0;0;0;2235;1;0;0
OPEN;19/06/2025;09:50:35;400;1;0;0;0;0;2232;1;0;0
OPEN;19/06/2025;09:51:05;400;1;0;0;0;0;2226;1;0;0
OPEN;19/06/2025;09:51:35;400;1;0;0;0;0;2224;1;0;0
OPEN;19/06/2025;09:52:05;400;1;0;0;0;0;2226;1;0;0
OPEN;19/06/2025;09:52:35;400;1;0;0;0;0;2237;1;0;0
OPEN;19/06/2025;09:53:05;400;1;0;0;0;0;2232;1;0;0
OPEN;19/06/2025;09:53:35;400;1;0;0;0;0;2233;1;0;0
OPEN;19/06/2025;09:54:05;400;1;0;0;0;0;2226;1;0;0
OPEN;19/06/2025;09:54:35;400;1;0;0;0;0;2220;1;0;0
OPEN;19/06/2025;09:55:05;400;1;0;0;0;0;2227;1;0;0
OPEN;19/06/2025;09:55:35;400;1;0;0;0;0;2239;1;0;0
OPEN;19/06/2025;09:56:05;400;1;0;0;0;0;2231;1;0;0
OPEN;19/06/2025;09:56:35;400;1;0;0;0;0;2231;1;0;0
OPEN;19/06/2025;09:57:05;400;1;0;0;0;0;2227;1;0;0
OPEN;19/06/2025;09:57:35;400;1;0;0;0;0;2221;1;0;0
OPEN;19/06/2025;09:58:05;400;1;0;0;0;0;2231;1;0;0
OPEN;19/06/2025;09:58:35;400;1;0;0;0;0;2236;1;0;0
OPEN;19/06/2025;09:59:05;400;1;0;0;0;0;2233;1;0;0
OPEN;19/06/2025;09:59:35;400;1;0;0;0;0;2230;1;0;0
OPEN;19/06/2025;10:00:05;400;1;0;0;0;0;2226;1;0;0
OPEN;19/06/2025;10:00:35;400;1;0;0;0;0;2224;1;0;0
OPEN;19/06/2025;10:01:05;400;1;0;0;0;0;2230;1;0;0
OPEN;19/06/2025;10:01:35;400;1;0;0;0;0;2233;1;0;0
OPEN;19/06/2025;10:02:05;400;1;0;0;0;0;2233;1;0;0
OPEN;19/06/2025;10:02:35;400;1;0;0;0;0;2231;1;0;0
OPEN;19/06/2025;10:03:05;400;1;0;0;0;0;2225;1;0;0
OPEN;19/06/2025;10:03:35;400;1;0;0;0;0;2227;1;0;0
OPEN;19/06/2025;10:04:05;400;1;0;0;0;0;2240;1;0;0
OPEN;19/06/2025;10:04:35;400;1;0;0;0;0;2233;1;0;0
OPEN;19/06/2025;10:05:05;400;1;0;0;0;0;2240;1;0;0
OPEN;19/06/2025;10:05:35;400;1;0;0;0;0;2228;1;0;0
OPEN;19/06/2025;10:06:05;400;1;0;0;0;0;2223;1;0;0
OPEN;19/06/2025;10:06:35;400;1;0;0;0;0;2226;1;0;0
OPEN;19/06/2025;10:07:05;400;1;0;0;0;0;2244;1;0;0
OPEN;19/06/2025;10:07:35;400;1;0;0;0;0;2233;1;0;0
OPEN;19/06/2025;10:08:05;400;1;0;0;0;0;2234;1;0;0
OPEN;19/06/2025;10:08:35;400;1;0;0;0;0;2222;1;0;0
OPEN;19/06/2025;10:09:05;400;1;0;0;0;0;2221;1;0;0
