Breaks;Date;Time;HUMIDIFICATEUR [I];POMPE_FOND_ECO [B];PPM_CO2_HUMIDE [I];V2V_DESHUMIDIF [B];VANNE_PROP_INF [I];VANNE_PROP_SUP [I];FERMETURE_PORTE [B];MOLE_O2_DERIVEE [R];POMPE_UTA_CHAUD [B];POMPE_UTA_FROID [B]
OPEN;19/06/2025;09:34:01;0;0;0;0;0;0;0;0;0;0
OPEN;19/06/2025;09:34:17;0;0;532;1;0;0;0;12170;1;1
OPEN;19/06/2025;09:34:34;0;0;532;1;0;0;0;12170;1;0
OPEN;19/06/2025;09:34:50;0;0;569;1;0;0;0;12011;1;0
OPEN;19/06/2025;09:35:04;0;0;569;0;0;0;0;12011;1;0
OPEN;19/06/2025;09:35:12;0;0;537;0;0;0;0;12362;1;0
OPEN;19/06/2025;09:35:15;0;0;537;0;0;0;0;12362;1;1
OPEN;19/06/2025;09:35:34;0;0;537;0;0;0;0;12362;0;1
OPEN;19/06/2025;09:36:03;0;0;519;0;0;0;0;12388;0;1
OPEN;19/06/2025;09:36:04;0;0;519;1;0;0;0;12388;0;1
OPEN;19/06/2025;09:36:13;0;0;547;1;0;0;0;12347;0;1
OPEN;19/06/2025;09:36:34;0;0;547;0;0;0;0;12347;0;1
OPEN;19/06/2025;09:37:04;0;0;526;0;0;0;0;12260;0;1
OPEN;19/06/2025;09:37:20;0;0;537;0;0;0;0;12162;0;1
OPEN;19/06/2025;09:37:22;0;0;537;0;0;0;0;12162;0;0
OPEN;19/06/2025;09:37:34;0;0;537;0;0;0;0;12162;1;0
OPEN;19/06/2025;09:38:04;0;0;534;0;0;0;0;12200;1;0
OPEN;19/06/2025;09:38:20;0;0;502;0;0;0;0;12334;1;0
OPEN;19/06/2025;09:38:23;0;0;502;0;0;0;0;12334;0;0
OPEN;19/06/2025;09:38:34;0;0;502;0;0;0;0;12334;0;1
OPEN;19/06/2025;09:38:43;0;0;544;0;0;0;0;12345;0;1
OPEN;19/06/2025;09:39:04;0;0;544;1;0;0;0;12345;0;1
OPEN;19/06/2025;09:39:23;0;0;542;1;0;0;0;12276;0;1
OPEN;19/06/2025;09:39:34;0;0;542;0;0;0;0;12276;0;1
OPEN;19/06/2025;09:40:04;0;0;515;0;0;0;0;12263;0;1
OPEN;19/06/2025;09:40:15;0;0;566;0;0;0;0;12172;0;1
OPEN;19/06/2025;09:40:22;0;0;566;0;0;0;0;12172;0;0
OPEN;19/06/2025;09:40:34;0;0;566;0;0;0;0;12172;1;0
OPEN;19/06/2025;09:40:55;0;0;569;0;0;0;0;12233;1;0
OPEN;19/06/2025;09:41:03;0;0;569;0;0;0;0;12233;0;0
OPEN;19/06/2025;09:41:04;0;0;569;0;0;0;0;12233;0;1
OPEN;19/06/2025;09:41:28;0;0;524;0;0;0;0;12352;0;1
OPEN;19/06/2025;09:41:34;0;0;524;1;0;0;0;12352;0;1
OPEN;19/06/2025;09:42:02;0;0;496;1;0;0;0;12320;0;1
OPEN;19/06/2025;09:42:04;0;0;496;0;0;0;0;12320;0;1
OPEN;19/06/2025;09:42:34;0;0;598;0;0;0;0;12284;0;1
OPEN;19/06/2025;09:43:05;0;0;556;0;0;0;0;12240;0;1
OPEN;19/06/2025;09:43:12;0;0;561;0;0;0;0;12185;0;0
OPEN;19/06/2025;09:43:35;0;0;561;0;0;0;0;12185;1;0
OPEN;19/06/2025;09:43:40;0;0;480;0;0;0;0;12323;1;0
OPEN;19/06/2025;09:43:48;0;0;480;0;0;0;0;12323;0;0
OPEN;19/06/2025;09:44:05;0;0;480;0;0;0;0;12323;0;1
OPEN;19/06/2025;09:44:13;0;0;516;0;0;0;0;12351;0;1
OPEN;19/06/2025;09:44:35;0;0;516;1;0;0;0;12351;0;1
OPEN;19/06/2025;09:44:58;0;0;511;1;0;0;0;12294;0;1
OPEN;19/06/2025;09:45:05;0;0;511;0;0;0;0;12294;0;1
OPEN;19/06/2025;09:45:35;0;0;587;0;0;0;0;12253;0;1
OPEN;19/06/2025;09:45:55;0;0;507;0;0;0;0;12231;0;1
OPEN;19/06/2025;09:46:02;0;0;507;0;0;0;0;12231;0;0
OPEN;19/06/2025;09:46:05;0;0;507;0;0;0;0;12231;1;0
OPEN;19/06/2025;09:46:25;0;0;522;0;0;0;0;12245;1;0
OPEN;19/06/2025;09:46:35;0;0;522;0;0;0;0;12245;0;0
