Breaks;Date;Time;V2V_CAPTAGE_CO2 [B];VANNE_PROP_FOND [I];VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];VENTILATEUR_CTA [B];MOLE_CO2_DERIVEE [R];ORIGINE_COLONNES [B];V2V_INJECTION_N2 [B];V2V_INJECTION_O2 [B];V2V_INJ_AIR_NEUF [B]
OPEN;19/06/2025;09:34:01;0;0;0;0;0;0;0;0;0;0
OPEN;19/06/2025;09:34:34;0;0;0;100;1;289;0;0;0;1
OPEN;19/06/2025;09:35:04;0;0;0;53;1;310;0;0;0;1
OPEN;19/06/2025;09:35:34;0;0;98;0;1;297;0;0;0;1
OPEN;19/06/2025;09:36:04;0;0;100;0;1;288;0;0;0;1
OPEN;19/06/2025;09:36:34;0;0;94;0;1;303;0;0;0;1
OPEN;19/06/2025;09:37:04;0;0;30;0;1;289;0;0;0;1
OPEN;19/06/2025;09:37:34;0;0;0;35;1;294;0;0;0;1
OPEN;19/06/2025;09:38:04;0;0;0;31;1;292;0;0;0;1
OPEN;19/06/2025;09:38:34;0;0;42;0;1;277;0;0;0;1
OPEN;19/06/2025;09:39:04;0;0;75;0;1;301;0;0;0;1
OPEN;19/06/2025;09:39:34;0;0;53;0;1;299;0;0;0;1
OPEN;19/06/2025;09:40:04;0;0;19;0;1;283;0;0;0;1
OPEN;19/06/2025;09:40:34;0;0;0;18;1;310;0;0;0;1
OPEN;19/06/2025;09:41:04;0;0;15;0;1;313;0;0;0;1
OPEN;19/06/2025;09:41:34;0;0;67;0;1;290;0;0;0;1
OPEN;19/06/2025;09:42:04;0;0;60;0;1;274;0;0;0;1
OPEN;19/06/2025;09:42:34;0;0;42;0;1;330;0;0;0;1
OPEN;19/06/2025;09:43:05;0;0;8;0;1;305;0;0;0;1
OPEN;19/06/2025;09:43:35;0;0;0;14;1;308;0;0;0;1
OPEN;19/06/2025;09:44:05;0;0;42;0;1;264;0;0;0;1
OPEN;19/06/2025;09:44:35;0;0;71;0;1;285;0;0;0;1
OPEN;19/06/2025;09:45:05;0;0;57;0;1;282;0;0;0;1
OPEN;19/06/2025;09:45:35;0;0;30;0;1;323;0;0;0;1
OPEN;19/06/2025;09:46:05;0;0;0;14;1;278;0;0;0;1
OPEN;19/06/2025;09:46:35;0;0;8;0;1;287;0;0;0;1
OPEN;19/06/2025;09:47:05;0;0;67;0;1;275;0;0;0;1
OPEN;19/06/2025;09:47:35;0;0;75;0;1;294;0;0;0;1
OPEN;19/06/2025;09:48:05;0;0;57;0;1;299;0;0;0;1
OPEN;19/06/2025;09:48:35;0;0;15;0;1;297;0;0;0;1
OPEN;19/06/2025;09:49:05;0;0;0;27;1;301;0;0;0;1
OPEN;19/06/2025;09:49:35;0;0;27;0;1;306;0;0;0;1
OPEN;19/06/2025;09:50:05;0;0;84;0;1;288;0;0;0;1
OPEN;19/06/2025;09:50:35;0;0;84;0;1;282;0;0;0;1
