Breaks;Date;Time;VIDANGE_CANIVEAU [B];CONSIGNE_ROTATION [I];CONSIGNE_TEMP_INF [R];CONSIGNE_TEMP_SUP [R];DESHUMIDIFICATEUR [B];POIDS_EAU_CELLULE [R];POMPE_GENER_CHAUD [B];POMPE_GENER_FROID [B];TEMPERATURE_SONDE [R];V2V_ABSORBTION_O2 [B]
OPEN;19/06/2025;09:34:01;0;0;12;12;0;0;0;0;0;0
OPEN;19/06/2025;09:34:34;0;0;12;12;1;9,7829866;1;1;13,5;0
OPEN;19/06/2025;09:34:50;0;0;12;12;1;9,0215244;1;1;13,3;0
OPEN;19/06/2025;09:35:04;0;0;12;12;0;9,0215244;1;1;13,3;0
OPEN;19/06/2025;09:35:34;0;0;12;12;0;6,1668782;1;1;12;0
OPEN;19/06/2025;09:36:03;0;0;12;12;0;5,4080076;1;1;11,2;0
OPEN;19/06/2025;09:36:04;0;0;12;12;1;5,4080076;1;1;11,2;0
OPEN;19/06/2025;09:36:13;0;0;12;12;1;5,8268576;1;1;11,2;0
OPEN;19/06/2025;09:36:34;0;0;12;12;0;5,8268576;1;1;11,2;0
OPEN;19/06/2025;09:37:04;0;0;12;12;0;6,7937751;1;1;11,5;0
OPEN;19/06/2025;09:37:34;0;0;12;12;0;7,6492352;1;1;11,8;0
OPEN;19/06/2025;09:38:04;0;0;12;12;0;7,2235241;1;1;12,1;0
OPEN;19/06/2025;09:38:34;0;0;12;12;0;5,7341223;1;1;12;0
OPEN;19/06/2025;09:38:43;0;0;12;12;0;5,3099022;1;1;11,8;0
OPEN;19/06/2025;09:39:04;0;0;12;12;1;5,3099022;1;1;11,8;0
OPEN;19/06/2025;09:39:23;0;0;12;12;1;5,7016678;1;1;11,7;0
OPEN;19/06/2025;09:39:34;0;0;12;12;0;5,7016678;1;1;11,7;0
OPEN;19/06/2025;09:40:04;0;0;12;12;0;6,319263;1;1;11,8;0
OPEN;19/06/2025;09:40:34;0;0;12;12;0;6,8970041;1;1;12;0
OPEN;19/06/2025;09:41:04;0;0;12;12;0;6,2736931;1;1;12,1;0
OPEN;19/06/2025;09:41:28;0;0;12;12;0;5,3820996;1;1;11,9;0
OPEN;19/06/2025;09:41:34;0;0;12;12;1;5,3820996;1;1;11,9;0
OPEN;19/06/2025;09:42:02;0;0;12;12;1;5,5441918;1;1;11,8;0
OPEN;19/06/2025;09:42:04;0;0;12;12;0;5,5441918;1;1;11,8;0
OPEN;19/06/2025;09:42:34;0;0;12;12;0;5,9858308;1;1;11,8;0
OPEN;19/06/2025;09:43:05;0;0;12;12;0;6,5366492;1;1;11,8;0
OPEN;19/06/2025;09:43:35;0;0;12;12;0;6,760025;1;1;12;0
