Breaks;Date;Time;V2V_ABSORBTION_CO2 [B];V2V_CHAUD_FOND_ECO [B];V2V_FROID_FOND_ECO [B];HYGROMETRIE_CELLULE [R];PRESSION_CO2_HUMIDE [R];SURPRESSION_CEL_EXT [R];TEMPERATURE_MOY_INF [R];TEMPERATURE_MOY_SUP [R];TEMPERATURE_REPRISE [R];V2V_CIRCULATION_AIR [B]
OPEN;19/06/2025;09:34:01;0;0;0;0;0;0;0;0;0;0
OPEN;19/06/2025;09:34:34;0;0;0;96;54;-351,484981;20,3500005;22,6499995;14;1
OPEN;19/06/2025;09:34:50;0;0;0;94;58;-428,822263;20,3500005;22,6499995;13,1;1
OPEN;19/06/2025;09:35:04;0;0;0;94;58;-428,822263;20,3500005;22,6499995;13,1;0
OPEN;19/06/2025;09:35:34;0;0;0;82;54;-374,819581;20,3999995;22,6499995;9,5;0
OPEN;19/06/2025;09:36:03;0;0;0;76;52;-370,152713;20,3999995;22,6499995;8,6999998;0
OPEN;19/06/2025;09:36:04;0;0;0;76;52;-370,152713;20,3999995;22,6499995;8,6999998;1
OPEN;19/06/2025;09:36:13;0;0;0;77;55;-368,819215;20,3999995;22,6499995;9,6000004;1
OPEN;19/06/2025;09:36:34;0;0;0;77;55;-368,819215;20,3999995;22,6499995;9,6000004;0
OPEN;19/06/2025;09:37:04;0;0;0;80;53;-370,819335;20,3999995;22,5999995;11,3;0
OPEN;19/06/2025;09:37:34;0;0;0;82;54;-382,819941;20,3999995;22,5999995;12,7;0
OPEN;19/06/2025;09:38:04;0;0;0;78;54;-386,820189;20,3999995;22,5999995;12,6;0
OPEN;19/06/2025;09:38:34;0;0;0;69;51;-376,819701;20,3999995;22,5999995;11;0
OPEN;19/06/2025;09:38:43;0;0;0;67;55;-358,151977;20,3999995;22,5999995;10,3;0
OPEN;19/06/2025;09:39:04;0;0;0;67;55;-358,151977;20,3999995;22,5999995;10,3;1
OPEN;19/06/2025;09:39:23;0;0;0;70;55;-376,152957;20,4499995;22,65;10,7;1
OPEN;19/06/2025;09:39:34;0;0;0;70;55;-376,152957;20,4499995;22,65;10,7;0
OPEN;19/06/2025;09:40:04;0;0;0;73;52;-378,153079;20,5500005;22,65;11,6;0
OPEN;19/06/2025;09:40:34;0;0;0;76;57;-386,820067;20,5500005;22,65;12,3;0
OPEN;19/06/2025;09:41:04;0;0;0;72;57;-387,486819;20,5999995;22,7;11,7;0
OPEN;19/06/2025;09:41:28;0;0;0;67;53;-358,152097;20,5999995;22,75;10,5;0
OPEN;19/06/2025;09:41:34;0;0;0;67;53;-358,152097;20,5999995;22,75;10,5;1
OPEN;19/06/2025;09:42:02;0;0;0;69;50;-352,151729;20,7;22,75;10,5;1
OPEN;19/06/2025;09:42:04;0;0;0;69;50;-352,151729;20,7;22,75;10,5;0
OPEN;19/06/2025;09:42:34;0;0;0;72;60;-370,819457;20,7;22,8;11;0
OPEN;19/06/2025;09:43:05;0;0;0;74;56;-375,486207;20,75;22,8;11,9;0
OPEN;19/06/2025;09:43:35;0;0;0;75;57;-390,820315;20,75;22,8500005;12,2;0
OPEN;19/06/2025;09:44:05;0;0;0;69;48;-376,819701;20,75;22,8500005;11;0
OPEN;19/06/2025;09:44:13;0;0;0;67;52;-353,485111;20,8;22,8500005;10,4;0
OPEN;19/06/2025;09:44:35;0;0;0;67;52;-353,485111;20,8;22,8500005;10,4;1
OPEN;19/06/2025;09:44:58;0;0;0;69;51;-370,819337;20,8;22,8500005;10,6;1
OPEN;19/06/2025;09:45:05;0;0;0;69;51;-370,819337;20,8;22,8500005;10,6;0
OPEN;19/06/2025;09:45:35;0;0;0;72;59;-370,152707;20,8;22,8500005;11,3;0
OPEN;19/06/2025;09:46:05;0;0;0;74;51;-378,153071;20,85;22,8500005;12,2;0
OPEN;19/06/2025;09:46:35;0;0;0;72;53;-389,486943;20,85;22,8500005;11,9;0
OPEN;19/06/2025;09:46:57;0;0;0;67;50;-360,152221;20,85;22,9000005;10,5;0
OPEN;19/06/2025;09:47:05;0;0;0;67;50;-360,152221;20,85;22,9000005;10,5;1
OPEN;19/06/2025;09:47:35;0;0;0;67;53;-356,818721;20,8;22,8500005;10,3;1
OPEN;19/06/2025;09:47:57;0;0;0;69;54;-366,152463;20,8;22,8500005;10,6;1
OPEN;19/06/2025;09:48:05;0;0;0;69;54;-366,152463;20,8;22,8500005;10,6;0
OPEN;19/06/2025;09:48:35;0;0;0;72;54;-372,819455;20,8;22,9499995;11,7;0
OPEN;19/06/2025;09:49:05;0;0;0;73;55;-387,486937;20,8;22,9499995;12,5;0
OPEN;19/06/2025;09:49:35;0;0;0;68;56;-386,153443;20,85;23;11,4;0
OPEN;19/06/2025;09:49:42;0;0;0;64;52;-356,151975;20,85;23,05;10,1;0
OPEN;19/06/2025;09:49:47;0;0;0;64;52;-356,151975;20,85;23,05;10,1;1
OPEN;19/06/2025;09:50:05;0;0;0;64;52;-356,151975;20,85;23,05;10,1;0
OPEN;19/06/2025;09:50:33;0;0;0;67;51;-351,485111;20,9000005;23,05;10,1;0
OPEN;19/06/2025;09:50:35;0;0;0;67;51;-351,485111;20,9000005;23,05;10,1;1
OPEN;19/06/2025;09:50:52;0;0;0;69;59;-370,152713;20,950001;23,1;10,9;1
OPEN;19/06/2025;09:51:05;0;0;0;69;59;-370,152713;20,950001;23,1;10,9;0
OPEN;19/06/2025;09:51:35;0;0;0;72;50;-377,486327;20,950001;23,200001;12,4;0
OPEN;19/06/2025;09:52:05;0;0;0;70;56;-390,820431;20,950001;23,200001;12,6;0
OPEN;19/06/2025;09:52:28;0;0;0;62;59;-362,818967;21;23,200001;10,9;0
OPEN;19/06/2025;09:52:33;0;0;0;62;59;-362,818967;21;23,200001;10,9;1
OPEN;19/06/2025;09:52:35;0;0;0;62;59;-362,818967;21;23,200001;10,9;0
OPEN;19/06/2025;09:53:05;0;0;0;62;50;-350,818363;21;23,200001;9,8000002;0
OPEN;19/06/2025;09:53:35;0;0;0;65;55;-348,151607;21,0999995;23,25;10;0
OPEN;19/06/2025;09:53:38;0;0;0;69;53;-365,485713;21,049999;23,25;11,2;0
OPEN;19/06/2025;09:53:54;0;0;0;69;53;-365,485713;21,049999;23,25;11,2;1
OPEN;19/06/2025;09:54:05;0;0;0;69;53;-365,485713;21,049999;23,25;11,2;0
OPEN;19/06/2025;09:54:35;0;0;0;71;56;-377,486447;21,049999;23,25;12,7;0
OPEN;19/06/2025;09:55:05;0;0;0;68;58;-390,153683;21,049999;23,25;12,5;0
OPEN;19/06/2025;09:55:18;0;0;0;60;48;-357,485349;21,0999995;23,25;10,6;0
OPEN;19/06/2025;09:55:28;0;0;0;60;48;-357,485349;21,0999995;23,25;10,6;1
OPEN;19/06/2025;09:55:35;0;0;0;60;48;-357,485349;21,0999995;23,25;10,6;0
OPEN;19/06/2025;09:56:05;0;0;0;61;52;-348,151493;21,2;23,25;9,8999996;0
OPEN;19/06/2025;09:56:33;0;0;0;65;50;-346,151371;21,2;23,3499995;10,4;0
OPEN;19/06/2025;09:56:35;0;0;0;65;50;-346,151371;21,2;23,3499995;10,4;1
OPEN;19/06/2025;09:56:47;0;0;0;68;51;-362,818969;21,25;23,3499995;11,6;1
OPEN;19/06/2025;09:57:05;0;0;0;68;51;-362,818969;21,25;23,3499995;11,6;0
OPEN;19/06/2025;09:57:35;0;0;0;69;57;-380,819947;21,25;23,3999995;12,8;0
OPEN;19/06/2025;09:58:05;0;0;0;64;55;-386,820193;21,3000005;23,4499995;12,2;0
OPEN;19/06/2025;09:58:13;0;0;0;59;48;-351,485111;21,3000005;23,4499995;10,3;0
OPEN;19/06/2025;09:58:18;0;0;0;59;48;-351,485111;21,3000005;23,4499995;10,3;1
OPEN;19/06/2025;09:58:35;0;0;0;59;48;-351,485111;21,3000005;23,4499995;10,3;0
OPEN;19/06/2025;09:59:05;0;0;0;62;52;-345,484739;21,3000005;23,5;10;0
OPEN;19/06/2025;09:59:27;0;0;0;65;52;-348,151607;21,3500005;23,5999995;10,6;0
OPEN;19/06/2025;09:59:35;0;0;0;65;52;-348,151607;21,3500005;23,5999995;10,6;1
OPEN;19/06/2025;09:59:42;0;0;0;68;53;-366,152467;21,3999995;23,5999995;12;1
OPEN;19/06/2025;10:00:05;0;0;0;68;53;-366,152467;21,3999995;23,5999995;12;0
OPEN;19/06/2025;10:00:35;0;0;0;68;54;-386,820191;21,3999995;23,65;12,8;0
OPEN;19/06/2025;10:00:57;0;0;0;61;53;-366,152461;21,3999995;23,65;11,5;0
OPEN;19/06/2025;10:01:05;0;0;0;61;53;-366,152461;21,3999995;23,65;11,5;1
OPEN;19/06/2025;10:01:07;0;0;0;58;50;-348,818241;21,3500005;23,65;9,8000002;1
OPEN;19/06/2025;10:01:35;0;0;0;58;50;-348,818241;21,3500005;23,65;9,8000002;0
OPEN;19/06/2025;10:02:05;0;0;0;62;53;-350,151733;21,3500005;23,7;9,8000002;0
OPEN;19/06/2025;10:02:28;0;0;0;66;47;-346,818113;21,3;23,65;10,8;0
OPEN;19/06/2025;10:02:35;0;0;0;66;47;-346,818113;21,3;23,65;10,8;1
OPEN;19/06/2025;10:02:38;0;0;0;68;57;-368,152591;21,3;23,65;12,2;1
OPEN;19/06/2025;10:03:05;0;0;0;68;57;-368,152591;21,3;23,65;12,2;0
OPEN;19/06/2025;10:03:35;0;0;0;66;50;-382,819951;21,3;23,65;12,7;0
OPEN;19/06/2025;10:03:52;0;0;0;60;57;-352,151857;21,3;23,7;11,2;0
