Breaks,Date,Time,BP [R],HP [R],O2 [R],CO2 [R],O2_MMOL [R],POIDS_1 [R],POIDS_2 [R],POIDS_3 [R],CO2_MMOL [R],DEFAUT_BP [B],Breaks.1,DEFAUT_HP [B],A_SECONDES [I],IRRADIANCE [I],REARMEMENT [B],ARU_CELLULE [B],CONSIGNE_O2 [I],Etat_Mesure [B],POIDS_TOTAL [I],BALLON_CHAUD [R],BALLON_FROID [R],Breaks.2,CONSIGNE_CO2 [I],MA_VARIATEUR [B],COMPRESSEUR_1 [B],COMPRESSEUR_2 [B],POMPE_INF_ECO [B],POMPE_SUP_ECO [B],PPM_O2_HUMIDE [R],V2V_AIR_VICIE [B],V2V_EAU_PLUIE [I],HAUTEUR_ECOLUX [I],Breaks.3,HUMIDIFICATEUR [I],POMPE_FOND_ECO [B],PPM_CO2_HUMIDE [I],V2V_DESHUMIDIF [B],VANNE_PROP_INF [I],VANNE_PROP_SUP [I],FERMETURE_PORTE [B],MOLE_O2_DERIVEE [R],POMPE_UTA_CHAUD [B],POMPE_UTA_FROID [B],Breaks.4,V2V_CAPTAGE_CO2 [B],VANNE_PROP_FOND [I],VANNE_UTA_CHAUD [I],VANNE_UTA_FROID [I],VENTILATEUR_CTA [B],MOLE_CO2_DERIVEE [R],ORIGINE_COLONNES [B],V2V_INJECTION_N2 [B],V2V_INJECTION_O2 [B],V2V_INJ_AIR_NEUF [B],Breaks.5,VIDANGE_CANIVEAU [B],CONSIGNE_ROTATION [I],CONSIGNE_TEMP_INF [R],CONSIGNE_TEMP_SUP [R],DESHUMIDIFICATEUR [B],POIDS_EAU_CELLULE [R],POMPE_GENER_CHAUD [B],POMPE_GENER_FROID [B],TEMPERATURE_SONDE [R],V2V_ABSORBTION_O2 [B],Breaks.6,V2V_CHAUD_INF_ECO [B],V2V_CHAUD_SUP_ECO [B],V2V_FROID_INF_ECO [B],V2V_FROID_SUP_ECO [B],V2V_INJECTION_CO2 [B],CONSIGNE_ECLAIRAGE [I],CONSIGNE_TEMP_FOND [R],POIDS_EAU_CONSIGNE [R],PRESSION_EXTERIEUR [R],PRESSION_O2_HUMIDE [R],Breaks.7,V2V_ABSORBTION_CO2 [B],V2V_CHAUD_FOND_ECO [B],V2V_FROID_FOND_ECO [B],HYGROMETRIE_CELLULE [R],PRESSION_CO2_HUMIDE [R],SURPRESSION_CEL_EXT [R],TEMPERATURE_MOY_INF [R],TEMPERATURE_MOY_SUP [R],TEMPERATURE_REPRISE [R],V2V_CIRCULATION_AIR [B],Breaks.8,V2V_CONDENS_UTA_EXT [B],V2V_CONDENS_UTA_INT [B],CONSIGNE_VENTILATION [I],HYGROMETRIE_CONSIGNE [I],TEMPERATURE_CONSIGNE [R],TEMPERATURE_MOY_FOND [R],V2V_LESSIVAT_ECORIUM [B],V2V_VIDANGE_CANIVEAU [B],VIDANGE_EAU_DE_PLUIE [B],HYGROMETRIE_SOUFFLAGE [R],TEMPERATURE_SOUFFLAGE [R],V2V_CONDENSAT_UTA_EXT [B],V2V_CONDENSAT_UTA_INT [B],Breaks.9,VENTILATEUR_TEMPETE_1 [B],VENTILATEUR_TEMPETE_2 [B],VENTILATEUR_TEMPETE_3 [B],VENTILATEUR_TEMPETE_4 [B],TEMPERATURE_ALLER_CHAUD [R],TEMPERATURE_ALLER_FROID [R],TEMP_ENTREE_INF_ECORIUM [R],TEMP_ENTREE_SUP_ECORIUM [R],TEMP_SORTIE_INF_ECORIUM [R],TEMP_SORTIE_SUP_ECORIUM [R],TEMPERATURE_RETOUR_CHAUD [R],TEMPERATURE_RETOUR_FROID [R],TEMP_ENTREE_FOND_ECORIUM [R],TEMP_SORTIE_FOND_ECORIUM [R]
,,,0.0,0.0,0.0,0.0,0.0,-1000.0,-1000.0,-1000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,210000.0,0.0,-3000.0,0.0,0.0,,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,,,-7.5430546,41.195171,227200.0,540.0,12170.0,-10.0,3.66666666666667,-6.66666666666667,289.0,1.0,,1.0,515936.0,21.0,0.0,1.0,210000.0,0.0,-13.0,43.799999,-3.5999999,,400.0,1.0,0.0,1.0,0.0,0.0,2237.0,1.0,0.0,0.0,,0.0,0.0,532.0,1.0,0.0,0.0,0.0,12170.0,1.0,1.0,,0.0,0.0,0.0,100.0,1.0,289.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,1.0,9.7829866,1.0,1.0,13.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,997.0,22652.0,,0.0,0.0,0.0,96.0,54.0,-351.484981,20.3500005,22.6499995,14.0,1.0,,0.0,0.0,60.0,60.0,0.0,23.45,0.0,0.0,0.0,79.0,13.7,0.0,0.0,,0.0,0.0,0.0,0.0,43.400002,-0.89999998,20.700001,21.799999,20.0,23.5,42.900002,1.2,20.5,26.4
nan,,,-6.9485931,41.339035,223200.0,577.0,12011.0,-10.0,3.33333333333333,-7.0,310.0,1.0,,1.0,515966.0,17.0,0.0,1.0,210000.0,0.0,-13.0,43.899998,-3.4999998,,400.0,1.0,0.0,1.0,0.0,0.0,2200.0,1.0,0.0,0.0,,0.0,0.0,532.0,1.0,0.0,0.0,0.0,12170.0,1.0,0.0,,0.0,0.0,0.0,53.0,1.0,310.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,1.0,9.0215244,1.0,1.0,13.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22253.0,,0.0,0.0,0.0,94.0,58.0,-428.822263,20.3500005,22.6499995,13.1,1.0,,0.0,0.0,60.0,60.0,12.0,23.45,0.0,0.0,0.0,76.0,13.5,0.0,0.0,,0.0,0.0,0.0,0.0,43.400002,-1.1,20.700001,21.799999,20.0,23.5,42.900002,4.8000002,20.5,26.4
nan,,,-6.0702896,41.654469,225600.0,542.0,12362.0,-10.3333333333333,3.33333333333333,-7.0,297.0,1.0,,1.0,515994.0,20.0,0.0,1.0,210000.0,0.0,-14.0,43.899998,-3.5999999,,400.0,1.0,0.0,1.0,0.0,0.0,2234.0,1.0,0.0,0.0,,0.0,0.0,569.0,1.0,0.0,0.0,0.0,12011.0,1.0,0.0,,0.0,0.0,98.0,0.0,1.0,297.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,9.0215244,1.0,1.0,13.3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22492.0,,0.0,0.0,0.0,94.0,58.0,-428.822263,20.3500005,22.6499995,13.1,0.0,,0.0,0.0,60.0,60.0,12.0,23.3999995,0.0,0.0,0.0,59.0,11.5,0.0,0.0,,0.0,0.0,0.0,0.0,43.200001,-1.3,20.799999,21.799999,20.0,23.5,42.900002,5.1999998,20.5,26.299999
nan,,,-6.91679,41.797375,225100.0,524.0,12388.0,-10.0,3.33333333333333,-7.0,288.0,1.0,,1.0,516025.0,24.0,0.0,1.0,210000.0,0.0,-13.0,44.0,-3.6999998,,400.0,1.0,0.0,1.0,0.0,0.0,2232.0,1.0,0.0,0.0,,0.0,0.0,569.0,0.0,0.0,0.0,0.0,12011.0,1.0,0.0,,0.0,0.0,100.0,0.0,1.0,288.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,6.1668782,1.0,1.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22442.0,,0.0,0.0,0.0,82.0,54.0,-374.819581,20.3999995,22.6499995,9.5,0.0,,0.0,0.0,60.0,60.0,12.0,23.3999995,0.0,0.0,0.0,63.0,11.1,0.0,0.0,,0.0,0.0,0.0,0.0,43.099998,-1.2,20.799999,21.799999,20.0,23.5,42.799999,4.6999998,20.5,26.299999
nan,,,-9.7327251,41.25275,225200.0,552.0,12347.0,-10.3333333333333,3.66666666666667,-7.0,303.0,1.0,,1.0,516055.0,15.0,0.0,1.0,210000.0,0.0,-13.0,44.200001,-3.7999997,,400.0,1.0,0.0,1.0,0.0,0.0,2231.0,1.0,0.0,0.0,,0.0,0.0,537.0,0.0,0.0,0.0,0.0,12362.0,1.0,0.0,,0.0,0.0,94.0,0.0,1.0,303.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,5.4080076,1.0,1.0,11.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22452.0,,0.0,0.0,0.0,76.0,52.0,-370.152713,20.3999995,22.6499995,8.6999998,0.0,,0.0,0.0,60.0,60.0,12.0,23.3999995,0.0,0.0,0.0,67.0,12.3,0.0,0.0,,0.0,0.0,0.0,0.0,43.099998,-1.1,20.799999,21.799999,20.0,23.5,42.799999,4.5999999,20.5,26.299999
nan,,,-8.5162964,41.439552,225300.0,532.0,12260.0,-10.0,3.0,-6.66666666666667,289.0,1.0,,1.0,516085.0,26.0,0.0,1.0,210000.0,0.0,-13.0,44.299999,-3.8999999,,400.0,1.0,0.0,1.0,0.0,0.0,2229.0,1.0,0.0,0.0,,0.0,0.0,537.0,0.0,0.0,0.0,0.0,12362.0,1.0,1.0,,0.0,0.0,30.0,0.0,1.0,289.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,1.0,5.4080076,1.0,1.0,11.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22462.0,,0.0,0.0,0.0,76.0,52.0,-370.152713,20.3999995,22.6499995,8.6999998,1.0,,0.0,0.0,60.0,60.0,12.0,23.3500005,0.0,0.0,0.0,68.0,13.9,0.0,0.0,,0.0,0.0,0.0,0.0,42.599998,-1.0,20.799999,21.799999,20.0,23.4,42.799999,4.5999999,20.5,26.200001
nan,,,-8.0503922,41.568584,224900.0,544.0,12162.0,-10.0,2.66666666666667,-6.66666666666667,294.0,1.0,,1.0,516114.0,20.0,0.0,1.0,210000.0,0.0,-14.0,44.399998,-3.7999997,,400.0,1.0,0.0,1.0,0.0,0.0,2222.0,1.0,0.0,0.0,,0.0,0.0,537.0,0.0,0.0,0.0,0.0,12362.0,0.0,1.0,,0.0,0.0,0.0,35.0,1.0,294.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,1.0,5.8268576,1.0,1.0,11.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22423.0,,0.0,0.0,0.0,77.0,55.0,-368.819215,20.3999995,22.6499995,9.6000004,1.0,,0.0,0.0,60.0,60.0,12.0,23.4000005,0.0,0.0,0.0,69.0,14.9,0.0,0.0,,0.0,0.0,0.0,0.0,42.700001,-1.0,20.799999,21.799999,20.0,23.4,42.900002,4.4000001,20.6,26.200001
nan,,,-7.7874546,41.697372,225300.0,540.0,12200.0,-10.0,3.0,-7.33333333333333,292.0,1.0,,1.0,516145.0,23.0,0.0,1.0,210000.0,0.0,-14.0,44.399998,-3.6999998,,400.0,1.0,0.0,1.0,0.0,0.0,2227.0,1.0,0.0,0.0,,0.0,0.0,519.0,0.0,0.0,0.0,0.0,12388.0,0.0,1.0,,0.0,0.0,0.0,31.0,1.0,292.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,5.8268576,1.0,1.0,11.2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22462.0,,0.0,0.0,0.0,77.0,55.0,-368.819215,20.3999995,22.6499995,9.6000004,0.0,,0.0,0.0,60.0,60.0,12.0,23.4000005,0.0,0.0,0.0,63.0,14.6,0.0,0.0,,0.0,0.0,0.0,0.0,43.0,-1.4,20.799999,21.799999,20.0,23.4,43.0,5.0999999,20.6,26.200001
nan,,,-11.262145,44.744007,225900.0,507.0,12334.0,-11.0,3.66666666666667,-6.66666666666667,277.0,1.0,,1.0,516175.0,12.0,0.0,1.0,210000.0,0.0,-14.0,44.399998,-3.5999999,,400.0,1.0,0.0,1.0,0.0,0.0,2238.0,1.0,0.0,0.0,,0.0,0.0,519.0,1.0,0.0,0.0,0.0,12388.0,0.0,1.0,,0.0,0.0,42.0,0.0,1.0,277.0,0.0,0.0,0.0,1.0,,0.0,0.0,12.0,12.0,0.0,6.7937751,1.0,1.0,11.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.3248639,997.0,22522.0,,0.0,0.0,0.0,80.0,53.0,-370.819335,20.3999995,22.5999995,11.3,0.0,,0.0,0.0,60.0,60.0,12.0,23.35,0.0,0.0,0.0,55.0,13.3,0.0,0.0,,0.0,0.0,0.0,0.0,43.400002,-1.5,20.799999,21.799999,20.0,23.4,43.099998,5.4000001,20.6,26.1
