Breaks,Date,Time,HP [R],O2 [R],CO2 [R],O2_MMOL [R],POIDS_1 [R],POIDS_2 [R],POIDS_3 [R],CO2_MMOL [R],DEFAUT_BP [B],DEFAUT_HP [B],A_SECONDES [I],IRRADIANCE [I],REARMEMENT [B],Breaks.1,ARU_CELLULE [B],CONSIGNE_O2 [I],Etat_Mesure [B],POIDS_TOTAL [R],BALLON_CHAUD [R],BALLON_FROID [R],CONSIGNE_CO2 [I],MA_VARIATEUR [B],COMPRESSEUR_1 [B],COMPRESSEUR_2 [B],POMPE_INF_ECO [B],POMPE_SUP_ECO [B],PPM_O2_HUMIDE [R],V2V_AIR_VICIE [B],V2V_EAU_PLUIE [I],Breaks.2,HAUTEUR_ECOLUX [I],HUMIDIFICATEUR [I],POMPE_FOND_ECO [B],PPM_CO2_HUMIDE [I],V2V_DESHUMIDIF [B],VANNE_PROP_INF [I],VANNE_PROP_SUP [I],FERMETURE_PORTE [B],MOLE_O2_DERIVEE [R],POMPE_UTA_CHAUD [B],POMPE_UTA_FROID [B],V2V_CAPTAGE_CO2 [B],VANNE_PROP_FOND [I],VANNE_UTA_CHAUD [I],VANNE_UTA_FROID [I],Breaks.3,VENTILATEUR_CTA [B],MOLE_CO2_DERIVEE [R],ORIGINE_COLONNES [B],V2V_INJECTION_N2 [B],V2V_INJECTION_O2 [B],V2V_INJ_AIR_NEUF [B],VIDANGE_CANIVEAU [B],CONSIGNE_ROTATION [I],CONSIGNE_TEMP_INF [R],CONSIGNE_TEMP_SUP [R],DESHUMIDIFICATEUR [B],POIDS_EAU_CELLULE [R],POMPE_GENER_CHAUD [B],POMPE_GENER_FROID [B],TEMPERATURE_SONDE [R],Breaks.4,V2V_ABSORBTION_O2 [B],V2V_CHAUD_INF_ECO [B],V2V_CHAUD_SUP_ECO [B],V2V_FROID_INF_ECO [B],V2V_FROID_SUP_ECO [B],V2V_INJECTION_CO2 [B],CONSIGNE_ECLAIRAGE [I],CONSIGNE_TEMP_FOND [R],POIDS_EAU_CONSIGNE [R],PRESSION_EXTERIEUR [R],PRESSION_O2_HUMIDE [R],V2V_ABSORBTION_CO2 [B],V2V_ABSORBTION_CO3 [B],Breaks.5,V2V_CHAUD_FOND_ECO [B],V2V_FROID_FOND_ECO [B],HYGROMETRIE_CELLULE [R],PRESSION_CO2_HUMIDE [R],SURPRESSION_CEL_EXT [R],TEMPERATURE_MOY_INF [R],TEMPERATURE_MOY_SUP [R],TEMPERATURE_REPRISE [R],V2V_CIRCULATION_AIR [B],V2V_CONDENS_UTA_EXT [B],V2V_CONDENS_UTA_INT [B],CONSIGNE_VENTILATION [I],HYGROMETRIE_CONSIGNE [I],TEMPERATURE_CONSIGNE [R],TEMPERATURE_MOY_FOND [R],Breaks.6,Date.1,Time.1,V2V_LESSIVAT_ECORIUM [B],V2V_VIDANGE_CANIVEAU [B],VIDANGE_EAU_DE_PLUIE [B],HYGROMETRIE_SOUFFLAGE [R],TEMPERATURE_SOUFFLAGE [R],V2V_CONDENSAT_UTA_EXT [B],V2V_CONDENSAT_UTA_INT [B],VENTILATEUR_TEMPETE_1 [B],VENTILATEUR_TEMPETE_2 [B],VENTILATEUR_TEMPETE_3 [B],VENTILATEUR_TEMPETE_4 [B],TEMPERATURE_ALLER_CHAUD [R],TEMPERATURE_ALLER_FROID [R],TEMP_ENTREE_INF_ECORIUM [R],TEMP_ENTREE_SUP_ECORIUM [R],Breaks.7,TEMP_SORTIE_INF_ECORIUM [R],TEMP_SORTIE_SUP_ECORIUM [R],TEMPERATURE_RETOUR_CHAUD [R],TEMPERATURE_RETOUR_FROID [R],TEMP_ENTREE_FOND_ECORIUM [R],TEMP_SORTIE_FOND_ECORIUM [R]
,,,0.0,0.0,0.0,0.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,210000.0,0.0,-3000.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
nan,,,33.102051,1638300.0,359.0,0.0,178.333333333333,158.333333333333,157.666666666667,0.0,1.0,1.0,39954554.0,8.0,0.0,nan,1.0,210000.0,0.0,494.333333333333,49.599998,-8.3000002,410.0,1.0,0.0,1.0,0.0,0.0,16308.0,1.0,100.0,nan,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,12.0,0.0,2.8506992,0.0,0.0,17.9,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1026.0,32767.0,0.0,0.0,nan,0.0,0.0,20.0,37.0,0.0,11.75,11.9,19.9,1.0,0.0,0.0,30.0,50.0,0.0,11.85,nan,,,0.0,0.0,0.0,18.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,8.6000004,8.5,10.3,10.3,nan,13.2,13.5,8.6000004,8.0,10.1,13.6
nan,,,33.102051,1638300.0,359.0,0.0,178.333333333333,158.333333333333,157.666666666667,0.0,0.0,0.0,39954554.0,8.0,0.0,nan,0.0,210000.0,0.0,494.333333333333,49.599998,-8.3000002,410.0,1.0,0.0,1.0,0.0,0.0,16308.0,0.0,100.0,nan,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.8506992,0.0,0.0,17.9,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1026.0,32767.0,0.0,0.0,nan,0.0,0.0,20.0,37.0,0.0,11.75,11.9,19.9,0.0,0.0,0.0,30.0,50.0,0.0,11.85,nan,,,0.0,0.0,0.0,18.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,8.6000004,8.5,10.3,10.3,nan,13.2,13.5,8.6000004,8.0,10.1,13.6
nan,,,31.869341,1638300.0,359.0,0.0,178.0,158.333333333333,157.666666666667,0.0,0.0,0.0,39954583.0,21.0,0.0,nan,0.0,210000.0,0.0,494.0,49.599998,-8.8999996,410.0,1.0,0.0,1.0,0.0,0.0,16308.0,0.0,100.0,nan,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.8506992,0.0,0.0,18.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1026.0,32767.0,0.0,0.0,nan,0.0,0.0,20.0,37.0,0.0,11.75,11.9,19.9,0.0,0.0,0.0,30.0,50.0,0.0,11.85,nan,,,0.0,0.0,0.0,18.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,8.6000004,8.5,10.3,10.3,nan,13.2,13.5,8.6000004,8.0,10.1,13.6
nan,,,31.477434,1638300.0,358.0,0.0,177.666666666667,158.333333333333,158.0,0.0,0.0,0.0,39954614.0,14.0,0.0,nan,0.0,210000.0,0.0,494.0,49.599998,-9.1999998,410.0,1.0,0.0,1.0,0.0,0.0,16308.0,0.0,100.0,nan,0.0,0.0,0.0,358.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.8506992,0.0,0.0,18.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1026.0,32767.0,0.0,0.0,nan,0.0,0.0,20.0,37.0,0.0,11.75,11.9,19.9,0.0,0.0,0.0,30.0,50.0,0.0,11.85,nan,,,0.0,0.0,0.0,18.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,8.6000004,8.5,10.3,10.3,nan,13.2,13.6,8.6000004,8.0,10.1,13.6
nan,,,32.340546,1638300.0,360.0,0.0,178.333333333333,158.333333333333,157.666666666667,0.0,0.0,0.0,39954643.0,11.0,0.0,nan,0.0,210000.0,0.0,494.333333333333,49.599998,-9.3999996,410.0,1.0,0.0,1.0,0.0,0.0,16308.0,0.0,100.0,nan,0.0,100.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.8506992,0.0,0.0,17.9,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.2213302,1026.0,32767.0,0.0,0.0,nan,0.0,0.0,20.0,37.0,0.0,11.75,11.95,19.9,0.0,0.0,0.0,30.0,50.0,0.0,11.85,nan,,,0.0,0.0,0.0,18.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,10.3,10.3,nan,13.2,13.6,8.6000004,8.0,10.1,13.6
nan,,,32.132454,1638300.0,362.0,0.0,178.0,157.666666666667,157.333333333333,0.0,0.0,0.0,15.0,21.0,0.0,nan,0.0,210000.0,0.0,494.333333333333,49.599998,-9.3999996,410.0,1.0,0.0,1.0,0.0,0.0,16308.0,0.0,100.0,nan,0.0,100.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.8506992,0.0,0.0,17.9,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.2213302,1026.0,32767.0,0.0,0.0,nan,0.0,0.0,20.0,37.0,0.0,11.75,11.95,19.9,1.0,0.0,0.0,30.0,50.0,0.0,11.85,nan,,,0.0,0.0,0.0,18.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,9.1000004,5.9000001,10.3,10.3,nan,13.2,13.6,8.6999998,8.1999998,10.1,13.6
nan,,,31.816324,1638300.0,367.0,0.0,178.333333333333,157.666666666667,157.333333333333,0.0,0.0,0.0,45.0,20.0,0.0,nan,0.0,210000.0,0.0,493.0,49.599998,-9.3999996,410.0,1.0,0.0,1.0,0.0,0.0,16308.0,0.0,100.0,nan,0.0,100.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.8506992,0.0,0.0,17.9,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.2213302,1026.0,32767.0,0.0,0.0,nan,0.0,0.0,20.0,37.0,0.0,11.75,11.95,19.9,1.0,0.0,0.0,30.0,50.0,20.0,11.85,nan,,,0.0,0.0,0.0,18.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,19.6,-3.3,10.3,10.3,nan,13.2,13.6,9.0,7.5999999,10.1,13.6
nan,,,31.477434,1638300.0,370.0,0.0,177.666666666667,157.666666666667,157.0,0.0,0.0,0.0,75.0,22.0,0.0,nan,0.0,210000.0,0.0,493.0,49.599998,-9.3999996,410.0,0.0,0.0,1.0,0.0,0.0,16308.0,0.0,100.0,nan,0.0,100.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.8506992,0.0,0.0,17.9,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.2213302,1026.0,32767.0,0.0,0.0,nan,0.0,0.0,20.0,37.0,0.0,11.75,11.95,19.9,0.0,0.0,0.0,30.0,50.0,20.0,11.85,nan,,,0.0,0.0,0.0,18.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,33.799999,-6.8000002,10.3,10.3,nan,13.2,13.6,9.3999996,3.3,10.1,13.6
nan,,,31.709883,1638300.0,367.0,0.0,177.666666666667,158.333333333333,157.333333333333,0.0,0.0,0.0,105.0,19.0,0.0,nan,0.0,210000.0,0.0,493.333333333333,47.799999,-8.6000004,410.0,0.0,0.0,1.0,0.0,0.0,16310.0,0.0,100.0,nan,0.0,100.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.7977324,0.0,0.0,18.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.2213302,1026.0,32767.0,0.0,0.0,nan,0.0,0.0,20.0,38.0,0.0,11.75,11.95,19.6,0.0,0.0,0.0,30.0,50.0,20.0,11.85,nan,,,0.0,0.0,0.0,18.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,38.0,-7.0999999,10.4,10.3,nan,13.2,13.6,16.6,-0.40000001,10.1,13.6
