Breaks,Date,Time,BP_R134_EN_BARS [R],HP_R134_EN_BARS [R],BP_R134_EN_DEGRES [R],HP_R134_EN_DEGRES [R],CONSIGNE_BALLON_CHAUD [R],CONSIGNE_BALLON_FROID [R],TEMPERATURE_MEG_CHAUD [R],TEMPERATURE_MEG_FROID [R]
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,,,0.66159999,7.6949997,-14.528214,33.102051,45.0,-6.0,49.599998,-8.3000002
nan,,,0.68271995,7.335,-14.218569,31.869341,45.0,-6.0,49.599998,-8.8999996
nan,,,0.70384002,7.2249999,-13.912477,31.477434,45.0,-6.0,49.599998,-9.1999998
nan,,,0.71920002,7.4699998,-13.692051,32.340546,45.0,-6.0,49.599998,-9.3999996
nan,,,0.73456001,7.4099998,-13.473429,32.132454,45.0,-6.0,49.599998,-9.3999996
nan,,,0.82863998,7.3199997,-12.171976,31.816324,45.0,-6.0,47.799999,-8.6000004
nan,,,0.89583993,7.2249999,-11.279413,31.477434,45.0,-6.0,46.0,-7.5999999
nan,,,1.36048,7.29,-5.7782459,31.709883,45.0,-6.0,44.200001,-6.9000001
nan,,,1.87888,6.7349997,-0.58125114,29.643183,45.0,-6.0,42.599998,-5.8000002
nan,,,1.36048,9.8249998,-5.7782459,33.625515,45.0,-6.0,41.700001,-4.6999998
nan,,,1.0782399,10.679999,-8.9934177,36.307461,45.0,-6.0,41.200001,-4.1999998
nan,,,0.81327999,10.53,-12.380197,35.843704,45.0,-6.0,41.099998,-4.0
nan,,,0.84975994,10.679999,-11.888275,36.307461,45.0,-6.0,41.099998,-3.9000001
nan,,,0.83823991,10.735,-12.042652,36.476795,45.0,-6.0,41.099998,-3.5999999
nan,,,0.91119993,10.695,-11.079451,36.353683,45.0,-6.0,41.099998,-3.5999999
nan,,,0.91119993,10.695,-11.079451,36.353683,45.0,-6.0,40.900002,-3.4000001
nan,,,0.88815999,10.775,-11.379948,36.599705,45.0,-6.0,40.900002,-3.2
nan,,,0.96879995,10.785,-10.342318,36.630398,45.0,-6.0,40.799999,-3.0999999
nan,,,0.92079997,10.83,-10.955214,36.768379,45.0,-6.0,40.900002,-3.0
nan,,,1.0072,10.92,-9.8615932,37.043564,45.0,-6.0,40.900002,-3.0999999
nan,,,0.79983997,12.21,-12.563721,40.877621,45.0,-6.0,41.0,-3.0
nan,,,0.63088,12.115,-14.985125,40.602207,45.0,-6.0,41.099998,-3.0999999
nan,,,0.63663995,12.155,-14.898856,40.718304,45.0,-6.0,41.200001,-3.0999999
nan,,,0.59247994,12.195,-15.5675,40.834209,45.0,-6.0,41.400002,-3.4000001
nan,,,0.68848002,12.32,-14.134739,41.195171,45.0,-6.0,41.599998,-3.4000001
nan,,,0.69999993,12.36,-13.96787,41.310284,45.0,-6.0,41.799999,-3.5999999
nan,,,0.63088,12.389999,-14.985125,41.396492,45.0,-6.0,42.0,-3.7
nan,,,0.54447997,12.48,-16.313789,41.654469,45.0,-6.0,42.200001,-3.8
nan,,,0.67312002,12.625,-14.35887,42.068073,45.0,-6.0,42.5,-3.9000001
nan,,,0.66351998,12.78,-14.499915,42.507435,45.0,-6.0,42.700001,-4.0
nan,,,0.65968001,12.795,-14.556541,42.549809,45.0,-6.0,42.900002,-4.1999998
nan,,,0.62511992,12.719999,-15.071675,42.337696,45.0,-6.0,43.200001,-4.4000001
nan,,,0.59247994,12.78,-15.5675,42.507435,45.0,-6.0,43.400002,-4.5
nan,,,0.61552,13.005,-15.216551,43.140186,45.0,-6.0,43.700001,-4.5999999
nan,,,0.63855994,13.014999,-14.870162,43.168163,45.0,-6.0,43.900002,-4.6999998
nan,,,0.65391994,13.16,-14.641709,43.57262,45.0,-6.0,44.099998,-4.8000002
nan,,,0.55599999,13.12,-16.132771,43.461292,45.0,-6.0,44.400002,-4.8000002
nan,,,0.68271995,13.235,-14.218569,43.780857,45.0,-6.0,44.599998,-4.9000001
nan,,,0.53103995,13.245,-16.526535,43.808571,45.0,-6.0,44.900002,-5.0
nan,,,0.52911997,11.355,-16.557064,38.359356,45.0,-6.0,45.099998,-3.8
nan,,,0.69231999,10.889999,-14.079,36.951946,45.0,-6.0,45.299999,-2.5999999
nan,,,0.53872001,11.155,-16.404758,37.757324,45.0,-6.0,45.5,-2.0999999
nan,,,0.46383995,10.87,-17.616268,36.890808,45.0,-6.0,45.599998,-2.0
nan,,,0.39855999,10.655,-18.718616,36.23037,45.0,-6.0,45.599998,-1.8
nan,,,0.48303998,10.514999,-17.300392,35.797169,45.0,-6.0,45.599998,-1.8
nan,,,0.38703996,10.505,-18.917862,35.766136,45.0,-6.0,45.599998,-1.8
nan,,,0.38703996,10.505,-18.917862,35.766136,45.0,-6.0,45.700001,-1.8
nan,,,0.48495996,10.58,-17.269007,35.998608,45.0,-6.0,45.700001,-1.8
nan,,,0.48495996,10.58,-17.269007,35.998608,45.0,-6.0,45.700001,-2.0
nan,,,0.49071997,10.44,-17.175068,35.564079,45.0,-6.0,45.700001,-2.0
nan,,,0.49071997,10.44,-17.175068,35.564079,45.0,-6.0,45.599998,-1.9
nan,,,0.42543995,10.41,-18.259289,35.470642,45.0,-6.0,45.599998,-1.9
nan,,,0.52144003,10.465,-16.679531,35.641857,45.0,-6.0,45.599998,-2.0
nan,,,0.45807999,10.41,-17.711752,35.470642,45.0,-6.0,45.599998,-2.0999999
nan,,,0.45615995,10.389999,-17.743656,35.408283,45.0,-6.0,45.5,-2.2
nan,,,0.46959996,10.32,-17.521116,35.189636,45.0,-6.0,45.5,-2.4000001
nan,,,0.47151995,10.469999,-17.489473,35.657402,45.0,-6.0,45.5,-2.5
nan,,,0.41583997,10.36,-18.422447,35.314655,45.0,-6.0,45.5,-2.7
nan,,,0.32751995,10.295,-19.970905,35.111397,45.0,-6.0,45.400002,-2.7
nan,,,0.46191996,10.36,-17.648058,35.314655,45.0,-6.0,45.400002,-2.7
nan,,,0.38896,10.304999,-18.884552,35.1427,45.0,-6.0,45.400002,-2.7
nan,,,0.34863997,10.29,-19.592634,35.095741,45.0,-6.0,45.400002,-2.7
nan,,,0.412,10.235,-18.487986,34.923294,45.0,-6.0,45.299999,-2.7
nan,,,0.37743998,10.195,-19.085011,34.797634,45.0,-6.0,45.299999,-2.8
nan,,,0.32559997,10.179999,-20.005548,34.750458,45.0,-6.0,45.299999,-2.9000001
nan,,,0.35247999,10.135,-19.524408,34.608761,45.0,-6.0,45.200001,-3.2
nan,,,0.40239996,10.12,-18.652525,34.56147,45.0,-6.0,44.900002,-3.3
nan,,,0.37935996,10.075,-19.051498,34.419426,45.0,-6.0,44.599998,-3.3
nan,,,0.29679996,11.759999,-20.530458,39.563343,45.0,-6.0,44.599998,-3.5999999
