humidity;temperature
96,91;0,26
96,88;0,26
96,85;0,26
96,82;0,25
96,79;0,25
96,76;0,25
96,72;0,24
96,69;0,24
96,66;0,24
96,63;0,24
96,60;0,24
96,57;0,23
96,54;0,23
96,53;0,20
96,51;0,18
96,50;0,15
96,48;0,13
96,47;0,10
96,46;0,08
96,44;0,05
96,43;0,02
96,41;-0,00
96,40;-0,03
96,38;-0,05
96,37;-0,08
96,38;-0,12
96,39;-0,15
96,40;-0,19
96,41;-0,22
96,42;-0,26
96,43;-0,30
96,43;-0,33
96,44;-0,37
96,45;-0,40
96,46;-0,44
96,47;-0,47
96,48;-0,51
96,45;-0,54
96,43;-0,57
96,40;-0,61
96,37;-0,64
96,35;-0,67
96,32;-0,71
96,29;-0,74
96,27;-0,77
96,24;-0,80
96,21;-0,83
96,19;-0,87
96,16;-0,90
96,16;-0,92
96,16;-0,95
96,15;-0,97
96,15;-1,00
96,15;-1,02
96,14;-1,04
96,14;-1,07
96,14;-1,09
96,14;-1,12
96,13;-1,14
96,13;-1,17
96,13;-1,19
96,10;-1,19
96,07;-1,19
96,04;-1,20
96,01;-1,20
95,98;-1,20
95,94;-1,21
95,91;-1,21
95,88;-1,21
95,85;-1,21
95,82;-1,21
95,79;-1,22
95,76;-1,22
95,68;-1,19
95,59;-1,16
95,50;-1,12
95,42;-1,09
95,34;-1,06
95,25;-1,03
95,16;-1,00
95,08;-0,97
95,00;-0,93
94,91;-0,90
94,82;-0,87
94,74;-0,84
94,65;-0,79
94,55;-0,74
94,46;-0,69
94,36;-0,64
94,27;-0,59
94,17;-0,54
94,08;-0,49
93,99;-0,44
93,89;-0,39
93,80;-0,34
93,70;-0,29
93,61;-0,24
93,49;-0,17
93,37;-0,10
93,25;-0,02
93,14;0,05
93,02;0,12
92,90;0,19
92,78;0,27
92,66;0,34
92,55;0,41
92,43;0,48
92,31;0,56
92,19;0,63
92,11;0,71
92,03;0,80
91,95;0,88
91,87;0,96
91,79;1,04
91,70;1,12
91,62;1,21
91,54;1,29
91,46;1,37
91,38;1,46
91,30;1,54
91,22;1,62
91,20;1,69
91,19;1,76
91,17;1,83
91,15;1,91
91,14;1,98
91,12;2,05
91,10;2,12
91,09;2,19
91,07;2,27
91,05;2,34
91,04;2,41
91,02;2,48
90,95;2,55
90,87;2,61
90,80;2,68
90,73;2,74
90,65;2,81
90,58;2,88
90,51;2,94
90,43;3,01
90,36;3,07
