YEAR,MO,DY,HR,Humidity,Temperature
2025,1,1,0,3.71,0.26
2025,1,1,1,3.69,0.23
2025,1,1,2,3.6,-0.08
2025,1,1,3,3.48,-0.51
2025,1,1,4,3.36,-0.9
2025,1,1,5,3.28,-1.19
2025,1,1,6,3.26,-1.22
2025,1,1,7,3.33,-0.84
2025,1,1,8,3.46,-0.24
2025,1,1,9,3.64,0.63
2025,1,1,10,3.87,1.62
2025,1,1,11,4.11,2.48
2025,1,1,12,4.31,3.27
2025,1,1,13,4.5,4.13
2025,1,1,14,4.64,4.91
2025,1,1,15,4.66,4.71
2025,1,1,16,4.6,4.04
2025,1,1,17,4.56,3.73
2025,1,1,18,4.56,3.58
2025,1,1,19,4.62,3.63
2025,1,1,20,4.71,3.82
2025,1,1,21,4.83,4.17
2025,1,1,22,4.93,4.61
2025,1,1,23,4.99,5.12
2025,1,2,0,5.06,5.65
2025,1,2,1,5.2,6.11
2025,1,2,2,5.37,6.39
2025,1,2,3,5.52,6.43
2025,1,2,4,5.59,6.22
2025,1,2,5,5.43,5.67
2025,1,2,6,5.08,4.56
2025,1,2,7,4.66,3.32
2025,1,2,8,4.28,2.26
2025,1,2,9,4.02,1.44
2025,1,2,10,3.99,1.54
2025,1,2,11,4.08,2.01
2025,1,2,12,4.2,2.6
2025,1,2,13,4.33,3.07
2025,1,2,14,4.46,3.26
2025,1,2,15,4.56,3.06
2025,1,2,16,4.58,3.05
2025,1,2,17,4.65,3.18
2025,1,2,18,4.69,3.21
2025,1,2,19,4.68,3.07
2025,1,2,20,4.63,2.99
2025,1,2,21,4.49,2.46
2025,1,2,22,4.28,1.83
2025,1,2,23,4.05,0.99
2025,1,3,0,3.86,0.38
2025,1,3,1,3.72,0.08
2025,1,3,2,3.6,-0.27
2025,1,3,3,3.48,-0.74
2025,1,3,4,3.36,-1.17
2025,1,3,5,3.26,-1.56
2025,1,3,6,3.15,-2.02
2025,1,3,7,3.05,-2.44
2025,1,3,8,3.04,-2.31
2025,1,3,9,3.17,-1.45
2025,1,3,10,3.33,0.23
2025,1,3,11,3.44,1.92
2025,1,3,12,3.29,3.64
2025,1,3,13,3.28,4.04
2025,1,3,14,3.67,3.53
2025,1,3,15,3.36,1.71
2025,1,3,16,3.14,1.07
2025,1,3,17,3.14,0.83
2025,1,3,18,3.12,-0.05
2025,1,3,19,3.08,-1.0
2025,1,3,20,3.03,-2.01
2025,1,3,21,2.97,-2.74
2025,1,3,22,2.91,-3.22
2025,1,3,23,2.84,-3.65
2025,1,4,0,2.78,-3.97
2025,1,4,1,2.72,-4.19
2025,1,4,2,2.68,-4.35
2025,1,4,3,2.65,-4.43
2025,1,4,4,2.64,-4.52
2025,1,4,5,2.66,-4.42
2025,1,4,6,2.66,-4.51
2025,1,4,7,2.66,-4.41
2025,1,4,8,2.69,-3.08
2025,1,4,9,2.74,-1.75
2025,1,4,10,2.61,-0.08
2025,1,4,11,2.45,1.06
2025,1,4,12,2.45,1.48
2025,1,4,13,2.47,1.55
