YEAR,MO,DY,HR,RH2M,T2M
2025,1,1,0,96.91,0.26
2025,1,1,1,96.54,0.23
2025,1,1,2,96.37,-0.08
2025,1,1,3,96.48,-0.51
2025,1,1,4,96.16,-0.9
2025,1,1,5,96.13,-1.19
2025,1,1,6,95.76,-1.22
2025,1,1,7,94.74,-0.84
2025,1,1,8,93.61,-0.24
2025,1,1,9,92.19,0.63
2025,1,1,10,91.22,1.62
2025,1,1,11,91.02,2.48
2025,1,1,12,90.14,3.27
2025,1,1,13,88.47,4.13
2025,1,1,14,86.3,4.91
2025,1,1,15,87.84,4.71
2025,1,1,16,90.84,4.04
2025,1,1,17,92.01,3.73
2025,1,1,18,92.98,3.58
2025,1,1,19,93.86,3.63
2025,1,1,20,94.36,3.82
2025,1,1,21,94.33,4.17
2025,1,1,22,93.31,4.61
2025,1,1,23,91.07,5.12
2025,1,2,0,88.92,5.65
2025,1,2,1,88.44,6.11
2025,1,2,2,89.53,6.39
2025,1,2,3,91.73,6.43
2025,1,2,4,94.26,6.22
2025,1,2,5,95.16,5.67
2025,1,2,6,96.26,4.56
2025,1,2,7,96.45,3.32
2025,1,2,8,95.61,2.26
2025,1,2,9,95.32,1.44
2025,1,2,10,94.0,1.54
2025,1,2,11,92.94,2.01
2025,1,2,12,91.73,2.6
2025,1,2,13,91.46,3.07
2025,1,2,14,92.98,3.26
2025,1,2,15,96.46,3.06
2025,1,2,16,97.01,3.05
2025,1,2,17,97.65,3.18
2025,1,2,18,98.36,3.21
2025,1,2,19,99.22,3.07
2025,1,2,20,98.79,2.99
2025,1,2,21,99.56,2.46
2025,1,2,22,99.34,1.83
2025,1,2,23,99.91,0.99
2025,1,3,0,99.52,0.38
2025,1,3,1,98.02,0.08
2025,1,3,2,97.61,-0.27
2025,1,3,3,98.13,-0.74
2025,1,3,4,98.2,-1.17
2025,1,3,5,98.45,-1.56
2025,1,3,6,98.88,-2.02
2025,1,3,7,99.19,-2.44
2025,1,3,8,97.84,-2.31
2025,1,3,9,94.99,-1.45
2025,1,3,10,87.02,0.23
2025,1,3,11,79.55,1.92
2025,1,3,12,67.3,3.64
2025,1,3,13,65.21,4.04
2025,1,3,14,75.6,3.53
2025,1,3,15,78.79,1.71
2025,1,3,16,77.12,1.07
2025,1,3,17,78.49,0.83
2025,1,3,18,83.21,-0.05
2025,1,3,19,88.88,-1.0
2025,1,3,20,95.13,-2.01
2025,1,3,21,99.11,-2.74
2025,1,3,22,100.0,-3.22
2025,1,3,23,100.0,-3.65
2025,1,4,0,100.0,-3.97
2025,1,4,1,100.0,-4.19
2025,1,4,2,100.0,-4.35
2025,1,4,3,100.0,-4.43
2025,1,4,4,100.0,-4.52
2025,1,4,5,100.0,-4.42
2025,1,4,6,100.0,-4.51
2025,1,4,7,100.0,-4.41
2025,1,4,8,91.94,-3.08
2025,1,4,9,83.72,-1.75
