Datetime;Breaks;VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];TEMPERATURE_SONDE [R];PRESSION_EXTERIEUR [R];HYGROMETRIE_CELLULE [R];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];TEMPERATURE_SOUFFLAGE [R];TEMPERATURE_ALLER_CHAUD [R];TEMPERATURE_ALLER_FROID [R];MA_VARIATEUR [B]
2024-04-12 23:00:08;;0.0;40.0;-9.8000002;1055.0;74.0;-9.3999996;-10.0;-9.8999996;43.0;-12.0;0.0
2024-04-12 23:00:38;;0.0;40.0;-9.8999996;1055.0;74.0;-9.3999996;-10.0;-10.0;42.900002;-11.9;0.0
2024-04-12 23:01:08;;0.0;34.0;-9.8999996;1055.0;74.0;-9.5;-10.0;-10.0;42.900002;-11.9;0.0
2024-04-12 23:01:38;;0.0;34.0;-9.8999996;1055.0;73.0;-9.5;-10.0;-10.0;42.900002;-11.8;0.0
2024-04-12 23:02:08;;0.0;34.0;-10.0;1055.0;74.0;-9.5;-10.0;-10.1;42.799999;-11.8;0.0
2024-04-12 23:02:38;;0.0;34.0;-10.0;1055.0;73.0;-9.5;-10.0;-10.1;42.799999;-11.8;0.0
2024-04-12 23:03:08;;0.0;28.0;-10.0;1055.0;74.0;-9.6000004;-10.0;-10.1;42.799999;-11.7;0.0
2024-04-12 23:03:38;;0.0;34.0;-10.0;1055.0;73.0;-9.5;-10.0;-10.1;42.700001;-11.9;0.0
2024-04-12 23:04:08;;0.0;28.0;-10.0;1055.0;73.0;-9.6000004;-10.0;-10.1;42.700001;-12.0;0.0
2024-04-12 23:04:38;;0.0;34.0;-10.0;1055.0;74.0;-9.5;-10.0;-10.1;42.599998;-12.2;0.0
2024-04-12 23:05:08;;0.0;28.0;-10.0;1055.0;74.0;-9.6000004;-10.0;-10.2;42.5;-12.4;0.0
2024-04-12 23:05:38;;0.0;28.0;-10.1;1055.0;73.0;-9.6000004;-10.0;-10.2;42.599998;-12.5;0.0
2024-04-12 23:06:08;;0.0;22.0;-10.1;1055.0;74.0;-9.6999998;-10.0;-10.2;42.700001;-12.6;0.0
2024-04-12 23:06:38;;0.0;22.0;-10.1;1055.0;74.0;-9.6999998;-10.0;-10.3;42.700001;-12.5;0.0
2024-04-12 23:07:08;;1.0;16.0;-10.1;1055.0;73.0;-9.8000002;-10.0;-10.3;42.799999;-12.3;0.0
2024-04-12 23:07:38;;1.0;16.0;-10.2;1055.0;74.0;-9.8000002;-10.0;-10.4;42.900002;-12.0;0.0
2024-04-12 23:08:08;;0.0;22.0;-10.2;1055.0;74.0;-9.6999998;-10.0;-10.3;43.099998;-11.9;0.0
2024-04-12 23:08:38;;0.0;28.0;-10.1;1055.0;73.0;-9.6000004;-10.0;-10.1;43.299999;-11.7;0.0
2024-04-12 23:09:08;;0.0;40.0;-10.0;1055.0;74.0;-9.3999996;-10.0;-9.8999996;43.400002;-11.6;0.0
2024-04-12 23:09:38;;0.0;51.0;-9.8999996;1055.0;74.0;-9.1999998;-10.0;-9.8000002;43.5;-11.6;0.0
2024-04-12 23:10:08;;0.0;51.0;-9.8000002;1055.0;74.0;-9.1999998;-10.0;-9.8000002;43.5;-11.6;0.0
2024-04-12 23:10:38;;1.0;16.0;-9.6999998;1055.0;74.0;-9.1999998;-9.4;-9.6999998;43.400002;-11.5;0.0
2024-04-12 23:11:08;;0.0;22.0;-9.6999998;1055.0;74.0;-9.1000004;-9.4;-9.6999998;43.400002;-11.4;0.0
2024-04-12 23:11:38;;0.0;22.0;-9.6000004;1055.0;74.0;-9.1000004;-9.4;-9.6000004;43.299999;-11.4;0.0
2024-04-12 23:12:08;;0.0;28.0;-9.6000004;1055.0;74.0;-9.0;-9.4;-9.5;43.299999;-11.4;0.0
2024-04-12 23:12:38;;0.0;28.0;-9.5;1055.0;74.0;-9.0;-9.4;-9.5;43.200001;-11.6;0.0
2024-04-12 23:13:08;;0.0;34.0;-9.5;1055.0;75.0;-8.8999996;-9.4;-9.5;43.200001;-11.7;0.0
2024-04-12 23:13:38;;0.0;28.0;-9.5;1055.0;74.0;-9.0;-9.4;-9.5;43.099998;-11.9;0.0
2024-04-12 23:14:08;;0.0;28.0;-9.5;1055.0;74.0;-9.0;-9.4;-9.5;43.099998;-12.0;0.0
2024-04-12 23:14:38;;0.0;22.0;-9.5;1055.0;74.0;-9.1000004;-9.4;-9.6000004;43.099998;-12.2;0.0
2024-04-12 23:15:08;;0.0;22.0;-9.6000004;1055.0;74.0;-9.1000004;-9.4;-9.6000004;43.0;-12.3;0.0
2024-04-12 23:15:38;;11.0;0.0;-9.6000004;1055.0;74.0;-9.1999998;-8.9;-9.6999998;43.0;-12.5;0.0
2024-04-12 23:16:08;;11.0;0.0;-9.6999998;1055.0;75.0;-9.1999998;-8.9;-9.6999998;43.0;-12.5;0.0
2024-04-12 23:16:38;;9.0;0.0;-9.6000004;1055.0;75.0;-9.1000004;-8.9;-9.5;43.0;-12.6;0.0
2024-04-12 23:17:08;;3.0;10.0;-9.3999996;1055.0;74.0;-8.8000002;-8.9;-9.1000004;43.0;-12.5;0.0
2024-04-12 23:17:38;;0.0;28.0;-9.1999998;1055.0;74.0;-8.5;-8.9;-8.6000004;43.0;-12.4;0.0
2024-04-12 23:18:08;;0.0;40.0;-8.8999996;1055.0;75.0;-8.3000002;-8.9;-8.3999996;43.0;-12.3;0.0
2024-04-12 23:18:38;;0.0;45.0;-8.8000002;1055.0;74.0;-8.1999998;-8.9;-8.3000002;43.0;-12.2;0.0
2024-04-12 23:18:39;;0.0;45.0;-8.8000002;1055.0;75.0;-8.1999998;-8.9;-8.3999996;42.900002;-12.2;0.0
2024-04-12 23:19:08;;0.0;45.0;-8.8000002;1055.0;75.0;-8.1999998;-8.9;-8.3999996;42.900002;-12.2;0.0
2024-04-12 23:19:09;;0.0;45.0;-8.8000002;1055.0;75.0;-8.3000002;-8.9;-8.6000004;42.900002;-12.1;0.0
2024-04-12 23:19:38;;0.0;40.0;-8.8000002;1055.0;75.0;-8.3000002;-8.9;-8.6000004;42.900002;-12.1;0.0
2024-04-12 23:19:39;;0.0;40.0;-8.8999996;1055.0;74.0;-8.5;-8.9;-8.6999998;42.799999;-12.1;0.0
2024-04-12 23:20:08;;0.0;28.0;-8.8999996;1055.0;74.0;-8.5;-8.9;-8.6999998;42.799999;-12.1;0.0
2024-04-12 23:20:09;;0.0;28.0;-9.0;1055.0;74.0;-8.6000004;-8.4;-8.8999996;42.799999;-12.0;0.0
2024-04-12 23:20:38;;9.0;0.0;-9.0;1055.0;74.0;-8.6000004;-8.4;-8.8999996;42.799999;-12.0;0.0
2024-04-12 23:20:39;;9.0;0.0;-9.0;1055.0;74.0;-8.6000004;-8.4;-8.8999996;42.700001;-11.9;0.0
2024-04-12 23:21:08;;9.0;0.0;-9.0;1055.0;74.0;-8.6000004;-8.4;-8.8999996;42.700001;-11.9;0.0
2024-04-12 23:21:09;;9.0;0.0;-9.0;1055.0;74.0;-8.5;-8.4;-8.8000002;42.700001;-11.9;0.0
2024-04-12 23:21:38;;7.0;0.0;-9.0;1055.0;74.0;-8.5;-8.4;-8.8000002;42.700001;-11.9;0.0
