Datetime;Breaks;HYGROMETRIE_CELLULE [I];HYGROMETRIE_CONSIGNE [I];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];POIDS_EAU_CELLULE [R];POIDS_EAU_CONSIGNE [R]
2025-02-25 19:05:20;;69.0;3.0;0.2;0.1525;2.6374164;0.11337893
2025-02-25 19:05:50;;69.0;3.0;0.30000001;0.1525;2.6567426;0.11337893
2025-02-25 19:06:20;;70.0;3.0;0.5;0.1525;2.7350135;0.11337893
2025-02-25 19:06:50;;71.0;3.0;0.5;0.1525;2.7742596;0.11337893
2025-02-25 19:07:20;;71.0;3.0;0.30000001;0.1525;2.7340879;0.11337893
2025-02-25 19:07:50;;70.0;3.0;0.1;0.1525;2.6563225;0.11337893
2025-02-25 19:08:20;;69.0;3.0;0.2;0.126666666666666;2.6374164;0.11337893
2025-02-25 19:08:50;;70.0;3.0;0.30000001;0.126666666666666;2.6954131;0.11337893
2025-02-25 19:09:20;;71.0;3.0;0.5;0.126666666666666;2.7742596;0.11337893
2025-02-25 19:09:50;;72.0;3.0;0.40000001;0.126666666666666;2.7930722;0.11337893
2025-02-25 19:10:20;;72.0;3.0;0.30000001;0.126666666666666;2.772768;0.11337893
2025-02-25 19:10:50;;71.0;3.0;0.1;0.126666666666666;2.6944342;0.11337893
2025-02-25 19:11:20;;71.0;3.0;0.2;0.126666666666666;2.7141969;0.11337893
2025-02-25 19:11:50;;72.0;3.0;0.40000001;0.126666666666666;2.7930722;0.11337893
2025-02-25 19:12:20;;73.0;3.0;0.40000001;0.126666666666666;2.8320415;0.11337893
2025-02-25 19:12:50;;73.0;3.0;0.40000001;0.126666666666666;2.8320415;0.11337893
2025-02-25 19:13:20;;72.0;3.0;0.2;0.100833333333333;2.752594;0.11337893
2025-02-25 19:13:50;;71.0;3.0;0.2;0.100833333333333;2.7141969;0.11337893
2025-02-25 19:14:20;;72.0;3.0;0.2;0.100833333333333;2.752594;0.11337893
2025-02-25 19:14:50;;73.0;3.0;0.40000001;0.100833333333333;2.8320415;0.11337893
2025-02-25 19:15:20;;74.0;3.0;0.5;0.100833333333333;2.8920267;0.11337893
2025-02-25 19:15:50;;74.0;3.0;0.40000001;0.100833333333333;2.8710155;0.11337893
2025-02-25 19:16:20;;73.0;3.0;0.2;0.100833333333333;2.7909961;0.11337893
2025-02-25 19:16:50;;71.0;3.0;-0.1;0.100833333333333;2.655293;0.11337893
2025-02-25 19:17:20;;71.0;3.0;0.0;0.100833333333333;2.6747999;0.11337893
2025-02-25 19:17:50;;71.0;3.0;0.1;0.100833333333333;2.6944342;0.11337893
2025-02-25 19:18:20;;73.0;3.0;0.30000001;0.075;2.8114529;0.11255612
2025-02-25 19:18:50;;74.0;3.0;0.5;0.075;2.8891726;0.11244554
2025-02-25 19:19:20;;74.0;3.0;0.30000001;0.075;2.8501422;0.11255612
2025-02-25 19:19:50;;72.0;3.0;0.0;0.075;2.7099607;0.11244554
2025-02-25 19:20:20;;71.0;3.0;-0.1;0.075;2.6526735;0.11244554
2025-02-25 19:20:50;;70.0;3.0;-0.1;0.075;2.6177373;0.11255612
2025-02-25 19:21:20;;71.0;3.0;0.1;0.075;2.691776;0.11244554
2025-02-25 19:21:50;;73.0;3.0;0.2;0.075;2.7882421;0.11244554
2025-02-25 19:22:21;;74.0;3.0;0.40000001;0.075;2.8681822;0.11244554
2025-02-25 19:22:51;;75.0;3.0;0.30000001;0.075;2.8859856;0.11244554
2025-02-25 19:23:21;;74.0;3.0;0.1;0.0491666666666666;2.8060257;0.11244554
