Temps,Temperature
9378426,28135288.0
9238629,27715896.0
4085048,12255149.0
292331,876993.3
9033734,27101212.0
5950125,17850382.0
6905840,20717528.0
3662044,10986137.0
841035,2523106.2
248582,745746.3
6398219,19194664.0
4910454,14731369.0
3764097,11292296.0
4518998,13557000.0
9212903,27638720.0
9140485,27421464.0
8971371,26914122.0
6373073,19119226.0
5260483,15781455.0
4664555,13993671.0
9226482,27679456.0
8962602,26887814.0
748773,2246320.2
6391875,19175632.0
3255810,9767433.0
2165697,6497093.5
2390136,7170410.5
9148576,27445738.0
4374306,13122923.0
6889063,20667196.0
455270,1365810.4
3288931,9866797.0
3608707,10826125.0
4291719,12875162.0
3591098,10773299.0
1774613,5323841.0
1579687,4739062.5
9934350,29803060.0
16607,49820.992
9792159,29376486.0
432361,1297083.4
8669747,26009248.0
3768950,11306854.0
9862230,29586700.0
5058853,15176565.0
194485,583455.25
8769836,26309518.0
3040474,9121426.0
1741455,5224367.0
7970780,23912348.0
5884261,17652790.0
4639652,13918962.0
5293743,15881236.0
1109874,3329623.5
977325,2931976.2
1511699,4535098.5
4317627,12952887.0
9315865,27947604.0
8759909,26279736.0
1892875,5678627.0
437142,1311426.4
3372830,10118495.0
5393486,16180465.0
4413873,13241625.0
1372737,4118212.5
8041182,24123556.0
214257,642771.25
1071471,3214414.2
4095437,12286315.0
9393766,28181308.0
8065138,24195422.0
4574522,13723573.0
7048583,21145756.0
4283875,12851631.0
774233,2322699.8
4769193,14307586.0
2669866,8009600.5
6704777,20114338.0
5411041,16233130.0
7097444,21292340.0
8606525,25819584.0
4403929,13211792.0
8619674,25859032.0
8645183,25935558.0
5310479,15931443.0
7934763,23804298.0
190303,570909.2
4027106,12081323.0
8811197,26433598.0
7548584,22645758.0
8079698,24239102.0
7063051,21189162.0
5664402,16993212.0
1932298,5796896.0
6481846,19445544.0
7976117,23928360.0
9411457,28234380.0
4850964,14552899.0
792564,2377693.0
4058309,12174931.0
8642620,25927870.0
1550059,4650178.5
7052630,21157896.0
6048892,18146684.0
5352695,16058092.0
23313,69939.01
372672,1118016.4
6692985,20078962.0
920657,2761972.2
9899887,29699672.0
3341283,10023853.0
5388966,16166906.0
1564415,4693246.5
2844475,8533429.0
8652777,25958342.0
921696,2765089.2
3139907,9419725.0
551025,1653075.5
7698533,23095608.0
5793526,17380586.0
1080020,3240061.2
8294968,24884912.0
1948155,5844466.5
8784305,26352924.0
71820,215460.06
9058536,27175616.0
9517674,28553032.0
1041817,3125452.2
2057394,6172184.5
4049949,12149852.0
2535235,7605706.5
6916072,20748222.0
1521510,4564531.5
2219851,6659555.0
4605864,13817599.0
5470998,16413001.0
2056886,6170660.5
633822,1901466.6
9870213,29610648.0
8007874,24023630.0
7212876,21638636.0
5754680,17264048.0
2840341,8521026.0
4463006,13389024.0
2870408,8611227.0
5959055,17877172.0
5382835,16148513.0
794802,2384407.0
5055806,15167425.0
3034050,9102153.0
8002520,24007568.0
9929248,29787752.0
4972355,14917071.0
5402393,16207185.0
361169,1083507.4
3550095,10650289.0
7482701,22448110.0
3710284,11130856.0
3655245,10965739.0
6305370,18916116.0
8553227,25659690.0
1948622,5845868.0
6745197,20235596.0
9056579,27169748.0
2941420,8824263.0
5408715,16226152.0
6151009,18453036.0
9806740,29420232.0
7813828,23441492.0
4268940,12806825.0
7370380,22111146.0
9455264,28365802.0
9701666,29105004.0
7660872,22982624.0
5635846,16907544.0
4231274,12693828.0
218655,655965.3
3474190,10422575.0
6872668,20618012.0
68880,206640.05
9283328,27849994.0
5482822,16448474.0
1070674,3212023.2
4816580,14449747.0
1162736,3488209.5
8384539,25153624.0
1757338,5272015.5
9692382,29077156.0
1315478,3946435.2
7271983,21815956.0
8572433,25717308.0
757831,2273493.8
6957316,20871956.0
1015612,3046837.2
4365314,13095947.0
8559214,25677650.0
3743844,11231537.0
4632261,13896789.0
787133,2361399.8
9138,27413.986
9711878,29135646.0
2496886,7490660.0
3730911,11192737.0
5816076,17448232.0
9687130,29061400.0
3942623,11827873.0
7819335,23458012.0
7212081,21636248.0
1764565,5293697.0
1900281,5700845.0
2107342,6322028.5
5741578,17224742.0
8927394,26782192.0
8750281,26250852.0
1700695,5102087.0
494103,1482309.5
2067192,6201578.5
6015279,18045844.0
9697890,29093678.0
1247521,3742564.8
8534026,25602088.0
94791,284373.1
8531157,25593480.0
4236591,12709778.0
2916326,8748981.0
4432127,13296387.0
3726231,11178698.0
8943249,26829756.0
8781629,26344900.0
9323856,27971580.0
2041079,6123239.0
5617638,16852920.0
2270804,6812414.5
152104,456312.16
5855567,17566708.0
7389783,22169356.0
5418819,16256463.0
6818961,20456890.0
5301716,15905156.0
5291310,15873937.0
7855271,23565820.0
7056662,21169994.0
3960084,11880257.0
1102700,3308101.5
8180304,24540920.0
9223849,27671558.0
8203515,24610554.0
2141866,6425600.0
3139001,9417007.0
1231726,3695179.2
3883095,11649290.0
9762310,29286940.0
4416072,13248222.0
8208692,24626084.0
5606644,16819940.0
5481078,16443241.0
5349564,16048699.0
3595053,10785163.0
2141129,6423389.5
1018212,3054637.2
9474416,28423256.0
9853359,29560088.0
5381230,16143697.0
4469456,13408374.0
7853216,23559656.0
8206544,24619640.0
6632400,19897208.0
4681843,14045535.0
5732978,17198940.0
2618646,7855940.0
2788540,8365622.5
8806546,26419648.0
3236572,9709721.0
8096692,24290084.0
2127970,6383912.5
5006725,15020181.0
6338824,19016480.0
3800349,11401051.0
8203664,24611000.0
3372643,10117933.0
7213802,21641412.0
6313977,18941938.0
6727933,20183806.0
9815363,29446098.0
4337153,13011463.0
1729184,5187554.5
7711688,23135072.0
171935,515805.2
6458952,19376864.0
4989438,14968319.0
6237195,18711590.0
6715738,20147220.0
7264868,21794612.0
7260400,21781208.0
4565134,13695407.0
6713665,20141002.0
5385536,16156615.0
7864467,23593408.0
4730340,14191027.0
152026,456078.16
3346415,10039249.0
6382971,19148920.0
4641324,13923978.0
5110148,15330450.0
9415631,28246904.0
1208978,3626935.5
3963455,11890369.0
7543742,22631236.0
2512571,7537715.5
4206189,12618573.0
493211,1479633.5
1859063,5577191.5
1837784,5513354.0
7795547,23386648.0
1283414,3850243.5
684507,2053521.8
5347791,16043380.0
3937745,11813240.0
835248,2505745.2
1645676,4937030.0
6494591,19483780.0
3588891,10766677.0
928187,2784562.2
3826067,11478205.0
7136159,21408484.0
4545579,13636743.0
6994632,20983904.0
9804585,29413764.0
5105100,15315307.0
123044,369132.1
781505,2344515.8
1539348,4618046.0
2759158,8277477.0
6358004,19074020.0
2060591,6181775.5
9666476,28999440.0
5430430,16291296.0
3898868,11696609.0
7002757,21008280.0
55884,167652.05
263363,790089.4
7987140,23961430.0
6314381,18943150.0
1336573,4009720.5
234660,703980.25
6049036,18147116.0
8934255,26802776.0
6625183,19875556.0
9692227,29076690.0
7764630,23293900.0
4617372,13852121.0
2607944,7823834.5
1218896,3656689.2
3329187,9987565.0
1925675,5777026.5
7809339,23428026.0
894031,2682094.2
7837351,23512060.0
8854625,26563884.0
7740343,23221036.0
942228,2826685.2
1872153,5616460.5
8206021,24618072.0
6377346,19132046.0
8319059,24957188.0
1531928,4595785.5
3562781,10688347.0
6645506,19936524.0
548595,1645785.6
8329910,24989740.0
8714733,26144208.0
8519811,25559442.0
