Date,Time,VANNE_UTA_CHAUD [I],VANNE_UTA_FROID [I],PRESSION_EXTERIEUR [R],TEMPERATURE_CONSIGNE [R],TEMPERATURE_ALLER_FROID [R],TEMPERATURE_REPRISE [R]
04-12-2024,23:00:08,0.0,40.0,1055.0,-10.0,-12.0,-1096.0001
04-12-2024,23:00:38,0.0,40.0,1055.0,-10.0,-11.9,-1100.0001
04-12-2024,23:01:08,0.0,34.0,1055.0,-10.0,-11.9,-1104.0001
04-12-2024,23:01:38,0.0,34.0,1055.0,-10.0,-11.8,-1104.0001
04-12-2024,23:02:08,0.0,34.0,1055.0,-10.0,-11.8,-1096.0001
04-12-2024,23:02:38,0.0,34.0,1055.0,-10.0,-11.8,-1096.0001
04-12-2024,23:03:08,0.0,28.0,1055.0,-10.0,-11.7,-1096.0001
04-12-2024,23:03:38,0.0,34.0,1055.0,-10.0,-11.9,-1096.0001
04-12-2024,23:04:08,0.0,28.0,1055.0,-10.0,-12.0,-1096.0001
04-12-2024,23:04:38,0.0,34.0,1055.0,-10.0,-12.2,-1096.0001
04-12-2024,23:05:08,0.0,28.0,1055.0,-10.0,-12.4,-1100.0001
04-12-2024,23:05:38,0.0,28.0,1055.0,-10.0,-12.5,-1100.0001
04-12-2024,23:06:08,0.0,22.0,1055.0,-10.0,-12.6,-1096.0001
04-12-2024,23:06:38,0.0,22.0,1055.0,-10.0,-12.5,-1100.0001
04-12-2024,23:07:08,1.0,16.0,1055.0,-10.0,-12.3,-1104.0001
04-12-2024,23:07:38,1.0,16.0,1055.0,-10.0,-12.0,-1108.0001
04-12-2024,23:08:08,0.0,22.0,1055.0,-10.0,-11.9,-1104.0001
04-12-2024,23:08:38,0.0,28.0,1055.0,-10.0,-11.7,-1108.0001
04-12-2024,23:09:08,0.0,40.0,1055.0,-10.0,-11.6,-1104.0001
04-12-2024,23:09:38,0.0,51.0,1055.0,-10.0,-11.6,-1108.0001
04-12-2024,23:10:08,0.0,51.0,1055.0,-10.0,-11.6,-1108.0001
04-12-2024,23:10:38,1.0,16.0,1055.0,-9.4,-11.5,-1104.0001
04-12-2024,23:11:08,0.0,22.0,1055.0,-9.4,-11.4,-1108.0001
