Datetime;Breaks;VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];TEMPERATURE_SONDE [R];PRESSION_EXTERIEUR [R];HYGROMETRIE_CELLULE [R];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];TEMPERATURE_SOUFFLAGE [R];TEMPERATURE_ALLER_CHAUD [R];TEMPERATURE_ALLER_FROID [R];MA_VARIATEUR [B]
2024-04-12 23:00:08;;0;40;-9,8000002;1055;74;-9,3999996;-10;-9,8999996;43;-12;0
2024-04-12 23:05:08;;0;28;-10;1055;74;-9,6000004;-10;-10,2;42,5;-12,4;0
2024-04-12 23:10:08;;0;51;-9,8000002;1055;74;-9,1999998;-10;-9,8000002;43,5;-11,6;0
2024-04-12 23:15:08;;0;22;-9,6000004;1055;74;-9,1000004;-9,4;-9,6000004;43;-12,3;0
2024-04-12 23:20:08;;0;28;-8,8999996;1055;74;-8,5;-8,9;-8,6999998;42,799999;-12,1;0
2024-04-12 23:25:08;;0;22;-8,5;1055;74;-8,1000004;-8,4;-8,3000002;42,5;-11,6;0
2024-04-12 23:30:08;;1;16;-8,1000004;1055;74;-7,6999998;-7,9;-7,9000001;43,299999;-12;0
2024-04-12 23:35:08;;1;16;-7,5;1055;73;-7,0999999;-7,3;-7,0999999;43,099998;-12,3;0
2024-04-12 23:40:08;;5;5;-7,1999998;1055;73;-6,8000002;-6,8;-6,8000002;42,700001;-11,9;0
2024-04-12 23:45:09;;7;0;-6,6999998;1055;71;-6,4000001;-6,3;-6,3000002;43;-12,5;0
2024-04-12 23:50:09;;7;0;-6,3000002;1055;70;-5,9000001;-5,8;-5,6999998;43,099998;-11,9;0
2024-04-12 23:55:09;;9;0;-5,9000001;1055;70;-5,5;-5,3;-5;42,700001;-12,1;0
2024-05-12 00:00:09;;9;0;-5,3000002;1055;69;-4,9000001;-4,7;-4,4000001;43,099998;-12,2;0
2024-05-12 00:05:09;;7;0;-4,6999998;1055;69;-4,3000002;-4,2;-3,5999999;43;-11,8;0
2024-05-12 00:10:09;;9;0;-4,3000002;1055;68;-3,9000001;-3,7;-3,0999999;42,799999;-12,4;0
2024-05-12 00:15:09;;9;0;-3,8;1055;67;-3,4000001;-3,2;-2,5999999;43,200001;-12,1;0
2024-05-12 00:20:09;;7;0;-3,2;1055;67;-2,8;-2,7;-1,9;42,700001;-12,3;0
2024-05-12 00:25:09;;11;0;-2,7;1055;66;-2,4000001;-2,1;-1,4;42,5;-11,7;0
2024-05-12 00:30:09;;15;0;-2,4000001;1055;66;-2,0999999;-1,6;-1,1;43,200001;-12;0
2024-05-12 00:35:09;;15;0;-1,8;1055;66;-1,6;-1,1;-0,5;42,900002;-11,8;0
2024-05-12 00:40:09;;17;0;-1,3;1055;65;-1,2;-0,6;-0,1;42,700001;-12,4;0
2024-05-12 00:45:09;;19;0;-0,89999998;1055;64;-0,80000001;-0,1;0,1;43,200001;-12,1;0
2024-05-12 00:50:10;;17;0;-0,30000001;1055;63;-0,2;0,4;0,89999998;42,599998;-12;0
2024-05-12 00:55:10;;15;0;0,40000001;1055;62;0,40000001;0,9;1,7;42,700001;-11,7;0
2024-05-12 01:00:10;;17;0;0,80000001;1055;61;0,80000001;1,4;2,2;42,900002;-12;0
2024-05-12 01:05:10;;13;0;1,5;1055;60;1,5;1,9;3;42,700001;-12,3;0
2024-05-12 01:10:10;;11;0;2,0999999;1055;59;2,2;2,5;3,8;42,400002;-11,7;0
2024-05-12 01:15:10;;9;0;2,7;1055;59;2,8;3;4,3000002;42,599998;-12;0
2024-05-12 01:20:10;;7;2;3,2;1055;58;3,4000001;3,5;5,1999998;42,5;-11,5;0
2024-05-12 01:25:10;;9;0;3,7;1055;58;3,8;4;5,5999999;43,099998;-12,1;0
2024-05-12 01:30:10;;5;3;4,3000002;1055;58;4,5;4,5;6,4000001;42,5;-11,4;0
2024-05-12 01:35:10;;3;4;4,9000001;1055;57;5,1999998;5,1;7,0999999;42,599998;-12;0
2024-05-12 01:40:10;;1;6;5,5;1055;57;5,8000002;5,6;7,8000002;42,400002;-11,6;0
2024-05-12 01:45:10;;1;6;5,9000001;1055;57;6,3000002;6,1;8,3000002;42,5;-11,7;0
2024-05-12 01:50:11;;1;6;6,5;1055;57;6,8000002;6,6;8,8999996;42,799999;-12,1;0
2024-05-12 01:55:11;;1;6;7;1055;56;7,3000002;7,1;9,3000002;42,299999;-11,6;0
2024-05-12 02:00:11;;3;4;7,5;1055;57;7,8000002;7,7;9,8999996;42,299999;-12;0
2024-05-12 02:05:11;;1;6;8;1055;56;8,3999996;8,2;10,5;42,900002;-11,9;0
2024-05-12 02:10:11;;3;4;8,3999996;1055;56;8,8000002;8,7;10,9;42,700001;-11,7;0
2024-05-12 02:15:11;;1;6;8,8000002;1055;56;9,3999996;9,2;11,3;42,5;-12,2;0
2024-05-12 02:20:11;;5;3;9,5;1055;57;9,6999998;9,7;11,3;43,099998;-11,9;0
2024-05-12 02:25:11;;1;6;10;1055;58;10,5;10,3;12,5;42,799999;-11,6;0
2024-05-12 02:30:11;;0;7;10,6;1055;56;11,1;10,8;13,1;43;-11,4;0
2024-05-12 02:35:11;;3;4;11;1055;57;11,4;11,3;13,4;43,200001;-11,9;0
2024-05-12 02:40:12;;1;6;11,6;1055;56;12;11,8;13,9;43;-11,6;0
2024-05-12 02:45:12;;3;4;12;1055;56;12,4;12,3;14,4;43,299999;-12,3;0
2024-05-12 02:50:12;;5;3;12,5;1055;56;12,9;12,9;14,8;43;-11,4;0
2024-05-12 02:55:12;;11;0;13,1;1055;57;13,1;13,4;14,3;43,299999;-12,2;0
2024-05-12 03:00:12;;29;0;12,8;1055;57;12,7;13,9;14,3;42,799999;-11,5;0
2024-05-12 03:05:12;;13;0;13,8;1055;56;14;14,4;16,1;42,900002;-11,8;0
2024-05-12 03:10:12;;11;0;14,1;1055;56;14,7;15;16,6;43;-11,7;0
2024-05-12 03:15:12;;25;0;13,8;1055;56;14;15;15,9;43,400002;-12,3;0
2024-05-12 03:20:12;;35;0;13,5;1055;54;13,5;15;15,4;42,900002;-11,6;0
2024-05-12 03:25:12;;43;0;13,3;1055;52;13,1;15;15;43,5;-11,9;0
2024-05-12 03:30:12;;53;0;13,1;1055;50;12,6;15;14,6;43,099998;-12;0
2024-05-12 03:35:12;;41;0;13,7;1055;48;13,2;15;15,4;43,099998;-11,9;0
2024-05-12 03:40:12;;21;0;14,5;1055;51;14,2;15;16,4;42,900002;-12;0
2024-05-12 03:45:13;;5;3;14,9;1055;53;15;15;17;42,700001;-10,7;0
2024-05-12 03:50:13;;9;0;14,6;1055;54;14,8;15;16,700001;43,400002;-10,9;0
2024-05-12 03:55:13;;19;0;14,2;1055;53;14,3;15;16,1;42,900002;-11;0
2024-05-12 04:00:13;;31;0;13,7;1055;51;13,7;15;15,6;42,799999;-11,4;0
2024-05-12 04:05:13;;43;0;13,3;1055;50;13,1;15;14,9;43,5;-11,9;0
2024-05-12 04:10:13;;49;0;13,3;1055;48;12,8;15;14,7;43;-11,4;0
2024-05-12 04:15:13;;47;0;13,4;1055;47;12,9;15;14,9;43,200001;-12,2;0
2024-05-12 04:20:13;;39;0;13,9;1055;46;13,3;15;15,4;42,900002;-11,7;0
2024-05-12 04:25:13;;25;0;14,5;1055;47;14;15;16,299999;42,599998;-11,8;0
2024-05-12 04:30:13;;7;2;14,9;1055;50;14,9;15;16,9;43,400002;-11,8;0
2024-05-12 04:35:13;;3;4;15;1055;52;15,1;15;17;42,799999;-11,4;0
2024-05-12 04:40:13;;9;0;14,7;1055;52;14,8;15;16,700001;43,099998;-11,8;0
2024-05-12 04:45:13;;17;0;14,3;1055;52;14,4;15;16,299999;43,400002;-12;0
2024-05-12 04:50:14;;27;0;13,9;1055;51;13,9;15;15,8;42,900002;-11,5;0
2024-05-12 04:55:14;;35;0;13,6;1055;49;13,5;15;15,4;43,299999;-12,2;0
2024-05-12 05:00:14;;41;0;13,4;1055;48;13,2;15;15;43,299999;-11,8;0
2024-05-12 05:05:14;;47;0;13,4;1055;47;12,9;15;14,9;43,200001;-11,9;0
2024-05-12 05:10:14;;45;0;13,6;1055;46;13;15;15,1;43,099998;-12,1;0
2024-05-12 05:15:14;;37;0;14,1;1055;45;13,4;15;15,6;42,700001;-11,6;0
2024-05-12 05:20:14;;29;0;14,4;1055;46;13,8;15;16,1;43,200001;-12,1;0
2024-05-12 05:25:14;;11;0;15;1055;49;14,7;15;16,9;42,700001;-11,7;0
2024-05-12 05:30:14;;0;7;15,2;1055;51;15,3;15;17,200001;42,900002;-12;0
2024-05-12 05:35:14;;5;3;14,9;1055;52;15;15;16,9;42,900002;-11,8;0
2024-05-12 05:40:14;;11;0;14,6;1055;50;14,7;15;16,5;43,200001;-11,2;0
2024-05-12 05:45:14;;19;0;14,3;1055;50;14,3;15;16,200001;43,400002;-12;0
2024-05-12 05:50:14;;23;0;14,1;1055;50;14,1;15;16;43,299999;-11,6;0
2024-05-12 05:55:15;;29;0;13,9;1055;50;13,8;15;15,7;43;-12,2;0
2024-05-12 06:00:15;;35;0;13,7;1055;48;13,5;15;15,4;43,200001;-10,7;0
2024-05-12 06:05:15;;39;0;13,6;1055;48;13,3;15;15,1;43,5;-11,8;0
2024-05-12 06:10:15;;41;0;13,6;1055;47;13,2;15;15,1;43,200001;-11,8;0
2024-05-12 06:15:15;;51;0;13,3;1055;45;12,7;15;14,6;42,599998;-10,8;0
2024-05-12 06:20:15;;39;0;14;1055;45;13,3;15;15,5;43,5;-11,5;0
2024-05-12 06:25:15;;35;0;14,1;1055;45;13,5;15;15,8;43;-10,9;0
2024-05-12 06:30:15;;35;0;14,3;1055;45;13,7;15;16;42,5;-10,3;0
2024-05-12 06:35:15;;21;0;14,8;1055;46;14,2;15;16,299999;43,5;-11,8;0
2024-05-12 06:40:15;;7;2;15,1;1055;49;14,9;15;17,1;43;-10,9;0
2024-05-12 06:45:15;;5;3;15,1;1055;49;15;15;17,1;42,400002;-10,1;0
2024-05-12 06:50:16;;3;4;15,2;1055;50;15,1;15;17,1;43,400002;-11,6;0
2024-05-12 06:55:16;;1;6;15,1;1055;50;15,2;15;17,1;42,900002;-10,8;0
2024-05-12 07:00:16;;3;4;15;1055;50;15,1;15;16,9;42,400002;-10,2;0
2024-05-12 07:05:16;;3;4;15;1055;50;15,1;15;17;43,299999;-11,4;0
2024-05-12 07:10:16;;13;0;14,5;1055;49;14,6;15;16,5;42,900002;-10,8;0
2024-05-12 07:15:16;;25;0;14;1055;49;14;15;16;43,5;-11,7;0
2024-05-12 07:20:16;;29;0;14;1055;48;13,8;15;15,8;43,400002;-11,9;0
2024-05-12 07:25:16;;33;0;13,8;1055;47;13,6;15;15,5;43,400002;-11;0
2024-05-12 07:30:16;;45;0;13,3;1055;46;13;15;15;43,700001;-11,9;0
2024-05-12 07:35:16;;43;0;13,6;1055;45;13,1;15;15,1;43;-11,6;0
2024-05-12 07:40:16;;43;0;13,7;1055;45;13,1;15;15,1;43,299999;-12;0
2024-05-12 07:45:16;;47;0;13,5;1055;44;12,9;15;14,9;43;-11,4;0
2024-05-12 07:50:16;;43;0;13,8;1055;43;13,1;15;15,3;43,400002;-12,2;0
2024-05-12 07:55:17;;27;0;14,6;1055;44;13,9;15;16,299999;43;-11,6;0
2024-05-12 08:00:17;;21;0;14,7;1055;45;14,2;15;16,5;43,5;-11,4;0
2024-05-12 08:05:17;;15;0;15;1055;45;14,5;15;16,700001;42,900002;-12;0
2024-05-12 08:10:17;;11;0;15;1055;46;14,7;15;16,9;43,299999;-11,4;0
2024-05-12 08:15:17;;5;3;15,2;1055;47;15;15;17,1;43,099998;-11,4;0
2024-05-12 08:20:17;;3;4;15,2;1055;48;15,1;15;17,1;42,599998;-10,8;0
2024-05-12 08:25:17;;5;3;15;1055;49;15;15;16,799999;43;-11;0
2024-05-12 08:30:17;;15;0;14,5;1055;48;14,5;15;16,5;43,400002;-11,5;0
2024-05-12 08:35:17;;25;0;14;1055;48;14;15;16;42,900002;-10,6;0
2024-05-12 08:40:17;;31;0;13,9;1055;47;13,7;15;15,5;43,400002;-11;0
2024-05-12 08:45:17;;41;0;13,5;1055;46;13,2;15;15,2;43,400002;-11,1;0
2024-05-12 08:50:17;;39;0;13,7;1055;46;13,3;15;15,1;42,799999;-10,3;0
2024-05-12 08:55:18;;41;0;13,7;1055;45;13,2;15;15,1;43,200001;-11;0
2024-05-12 09:00:18;;51;0;13,3;1055;43;12,7;15;14,7;43,599998;-11,4;0
2024-05-12 09:05:18;;47;0;13,5;1055;43;12,9;15;15;42,900002;-10,8;0
2024-05-12 09:10:18;;37;0;14,1;1055;43;13,4;15;15,6;42,900002;-11;0
2024-05-12 09:15:18;;21;0;14,8;1055;44;14,2;15;16,299999;43,299999;-11,2;0
2024-05-12 09:20:18;;7;2;15,1;1055;47;14,9;15;17;42,700001;-10,8;0
2024-05-12 09:25:18;;1;6;15,3;1055;48;15,2;15;17,1;42,799999;-10,3;0
2024-05-12 09:30:18;;5;3;14,9;1055;48;15;15;16,9;43,5;-11,8;0
2024-05-12 09:35:18;;15;0;14,4;1055;47;14,5;15;16,4;43,200001;-11,4;0
2024-05-12 09:40:18;;29;0;13,8;1055;46;13,8;15;15,8;43;-10,7;0
2024-05-12 09:45:18;;39;0;13,4;1055;45;13,3;15;15,1;44;-10,8;0
2024-05-12 09:50:18;;47;0;13,3;1055;44;12,9;15;14,8;43,400002;-10,8;0
2024-05-12 09:55:19;;49;0;13,5;1055;43;12,8;15;14,8;42,799999;-10,7;0
2024-05-12 10:00:19;;39;0;14;1055;43;13,3;15;15,5;43,299999;-11,6;0
2024-05-12 10:05:19;;35;0;14,1;1055;43;13,5;15;15,7;42,799999;-10,8;0
